,J
2017-12-15,54.74908447265625
2017-12-18,55.20401763916016
2017-12-19,54.914512634277344
2017-12-20,54.914512634277344
2017-12-21,54.988956451416016
2017-12-22,54.82352828979492
2017-12-26,54.63328170776367
2017-12-27,54.82352828979492
2017-12-28,55.06340026855469
2017-12-29,54.558837890625
2018-01-02,55.3115463256836
2018-01-03,55.50178909301758
2018-01-04,56.07252502441406
2018-01-05,56.36202621459961
2018-01-08,56.213138580322266
2018-01-09,56.00635147094727
2018-01-10,56.08906936645508
2018-01-11,57.48695373535156
2018-01-12,57.53657913208008
2018-01-16,57.420780181884766
2018-01-17,57.55312347412109
2018-01-18,57.39596557617188
2018-01-19,57.859169006347656
2018-01-22,58.09077072143555
2018-01-23,57.80126953125
2018-01-24,58.09904479980469
2018-01-25,57.78472518920898
2018-01-26,57.859169006347656
2018-01-29,58.76903533935547
2018-01-30,57.652381896972656
2018-01-31,57.45386505126953
2018-02-01,57.91706848144531
2018-02-02,55.518333435058594
2018-02-05,52.23454666137695
2018-02-06,53.05342483520508
2018-02-07,54.600196838378906
2018-02-08,51.96158599853516
2018-02-09,51.47356796264648
2018-02-12,52.18491744995117
2018-02-13,51.50665283203125
2018-02-14,52.65639114379883
2018-02-15,52.697750091552734
2018-02-16,52.26763153076172
2018-02-20,51.67208480834961
2018-02-21,51.33295440673828
2018-02-22,51.77961349487305
2018-02-23,51.57282638549805
2018-02-26,52.11874771118164
2018-02-27,51.06826400756836
2018-02-28,50.505802154541016
2018-03-01,49.08310317993164
2018-03-02,49.662109375
2018-03-05,49.720008850097656
2018-03-06,49.79445266723633
2018-03-07,49.78618240356445
2018-03-08,49.306434631347656
2018-03-09,50.29074478149414
2018-03-12,49.98469924926758
2018-03-13,49.720008850097656
2018-03-14,49.44704818725586
2018-03-15,49.57939529418945
2018-03-16,50.414817810058594
2018-03-19,49.55458068847656
2018-03-20,49.73655319213867
2018-03-21,50.067413330078125
2018-03-22,47.6934928894043
2018-03-23,45.96474838256836
2018-03-26,47.792747497558594
2018-03-27,46.51066589355469
2018-03-28,47.04004287719727
2018-03-29,48.92594528198242
2018-04-02,47.74311828613281
2018-04-03,48.42965316772461
2018-04-04,49.77790832519531
2018-04-05,49.5214958190918
2018-04-06,47.98299407958984
2018-04-09,48.23941040039063
2018-04-10,49.16581726074219
2018-04-11,49.23199081420898
2018-04-12,49.1823616027832
2018-04-13,49.025203704833984
2018-04-16,49.397422790527344
2018-04-17,49.82753753662109
2018-04-18,50.092227935791016
2018-04-19,50.042598724365234
2018-04-20,49.629024505615234
2018-04-23,50.00951385498047
2018-04-24,48.87631607055664
2018-04-25,48.50410079956055
2018-04-26,48.14842224121094
2018-04-27,48.63644409179688
2018-04-30,48.04916763305664
2018-05-01,48.29730987548828
2018-05-02,47.75139236450195
2018-05-03,47.27164459228516
2018-05-04,47.015228271484375
2018-05-07,46.90769958496094
2018-05-08,51.36603927612305
2018-05-09,51.99467468261719
2018-05-10,52.73910903930664
2018-05-11,52.565406799316406
2018-05-14,52.10220336914063
2018-05-15,51.85405731201172
2018-05-16,52.50750732421875
2018-05-17,52.90453720092773
2018-05-18,52.722564697265625
2018-05-21,53.12786865234375
2018-05-22,52.68947982788086
2018-05-23,52.49096298217773
2018-05-24,52.49096298217773
2018-05-25,52.3834342956543
2018-05-29,52.358619689941406
2018-05-30,53.63243103027344
2018-05-31,53.59934616088867
2018-06-01,54.10390853881836
2018-06-04,54.47612380981445
2018-06-05,54.92278671264648
2018-06-06,54.80698394775391
2018-06-07,54.63328170776367
2018-06-08,55.08821487426758
2018-06-11,54.85661315917969
2018-06-12,54.74081039428711
2018-06-13,54.19489288330078
2018-06-14,54.05427932739258
