,EVRG
2020-11-13,57.11000061035156
2020-11-16,57.630001068115234
2020-11-17,56.56999969482422
2020-11-18,55.0099983215332
2020-11-19,53.68999862670898
2020-11-20,54.5099983215332
2020-11-23,54.970001220703125
2020-11-24,55.79999923706055
2020-11-25,56.18000030517578
2020-11-27,55.77000045776367
2020-11-30,55.40999984741211
2020-12-01,55.560001373291016
2020-12-02,56.09999847412109
2020-12-03,55.5
2020-12-04,54.91999816894531
2020-12-07,55.119998931884766
2020-12-08,55.459999084472656
2020-12-09,55.5
2020-12-10,55.09999847412109
2020-12-11,55.130001068115234
2020-12-14,54.40999984741211
2020-12-15,54.65999984741211
2020-12-16,53.66999816894531
2020-12-17,54.040000915527344
2020-12-18,53.34999847412109
2020-12-21,52.77999877929688
2020-12-22,52.650001525878906
2020-12-23,52.77999877929688
2020-12-24,53.43000030517578
2020-12-28,53.83000183105469
2020-12-29,53.959999084472656
2020-12-30,54.06999969482422
2020-12-31,55.5099983215332
2021-01-04,53.75
2021-01-05,53.63999938964844
2021-01-06,54.720001220703125
2021-01-07,53.22999954223633
2021-01-08,53.0
2021-01-11,52.43999862670898
2021-01-12,52.88999938964844
2021-01-13,54.2599983215332
2021-01-14,53.310001373291016
2021-01-15,54.29999923706055
2021-01-19,53.380001068115234
2021-01-20,53.88999938964844
2021-01-21,53.58000183105469
2021-01-22,53.79999923706055
2021-01-25,54.2599983215332
2021-01-26,53.540000915527344
2021-01-27,52.720001220703125
2021-01-28,53.84000015258789
2021-01-29,53.72999954223633
2021-02-01,53.7400016784668
2021-02-02,53.869998931884766
2021-02-03,53.63999938964844
2021-02-04,55.0
2021-02-05,54.88999938964844
2021-02-08,54.220001220703125
2021-02-09,54.70000076293945
2021-02-10,55.34000015258789
2021-02-11,54.720001220703125
2021-02-12,54.43000030517578
2021-02-16,54.41999816894531
2021-02-17,54.79999923706055
2021-02-18,55.220001220703125
2021-02-19,54.22999954223633
2021-02-22,52.40999984741211
2021-02-23,54.34999847412109
2021-02-24,54.54999923706055
2021-02-25,53.68999862670898
2021-02-26,53.630001068115234
2021-03-01,53.959999084472656
2021-03-02,53.61000061035156
2021-03-03,53.709999084472656
2021-03-04,54.81999969482422
2021-03-05,55.34999847412109
2021-03-08,56.27000045776367
2021-03-09,56.540000915527344
2021-03-10,56.95000076293945
2021-03-11,56.7599983215332
2021-03-12,57.68000030517578
2021-03-15,59.18999862670898
2021-03-16,59.61000061035156
2021-03-17,58.380001068115234
2021-03-18,58.63999938964844
2021-03-19,59.540000915527344
2021-03-22,58.630001068115234
2021-03-23,58.88999938964844
2021-03-24,59.040000915527344
2021-03-25,59.83000183105469
2021-03-26,59.13999938964844
2021-03-29,60.15999984741211
2021-03-30,59.369998931884766
2021-03-31,59.52999877929688
2021-04-01,59.93000030517578
2021-04-05,60.630001068115234
2021-04-06,61.15999984741211
2021-04-07,61.2599983215332
2021-04-08,60.900001525878906
2021-04-09,60.65999984741211
2021-04-12,60.93000030517578
2021-04-13,61.119998931884766
2021-04-14,61.06999969482422
2021-04-15,62.15999984741211
2021-04-16,63.290000915527344
2021-04-19,63.2400016784668
2021-04-20,64.80999755859375
2021-04-21,64.61000061035156
2021-04-22,64.22000122070312
2021-04-23,63.47999954223633
2021-04-26,63.52999877929688
2021-04-27,62.900001525878906
2021-04-28,63.2599983215332
2021-04-29,63.43000030517578
2021-04-30,63.970001220703125
2021-05-03,64.05999755859375
