,DPZ
2022-08-10,405.75
2022-08-11,404.1300048828125
2022-08-12,412.239990234375
2022-08-15,410.8599853515625
2022-08-16,410.9299926757813
2022-08-17,411.989990234375
2022-08-18,416.9500122070313
2022-08-19,405.2000122070313
2022-08-22,401.2099914550781
2022-08-23,392.4599914550781
2022-08-24,396.9599914550781
2022-08-25,406.9700012207031
2022-08-26,390.2799987792969
2022-08-29,378.510009765625
2022-08-30,380.3699951171875
2022-08-31,371.8599853515625
2022-09-01,371.6199951171875
2022-09-02,365.7999877929688
2022-09-06,362.7699890136719
2022-09-07,362.6099853515625
2022-09-08,362.0
2022-09-09,367.1199951171875
2022-09-12,364.4400024414063
2022-09-13,350.3800048828125
2022-09-14,340.2799987792969
2022-09-15,349.510009765625
2022-09-16,342.9700012207031
2022-09-19,332.9800109863281
2022-09-20,332.3500061035156
2022-09-21,333.20001220703125
2022-09-22,320.1400146484375
2022-09-23,330.0
2022-09-26,324.739990234375
2022-09-27,314.19000244140625
2022-09-28,321.17999267578125
2022-09-29,316.3500061035156
2022-09-30,310.20001220703125
2022-10-03,316.44000244140625
2022-10-04,330.6099853515625
2022-10-05,335.1300048828125
2022-10-06,324.2200012207031
2022-10-07,314.5199890136719
2022-10-10,309.6700134277344
2022-10-11,303.5
2022-10-12,301.760009765625
2022-10-13,333.260009765625
2022-10-14,317.3399963378906
2022-10-17,321.1600036621094
2022-10-18,328.8999938964844
2022-10-19,323.3999938964844
2022-10-20,319.5
2022-10-21,321.5599975585937
2022-10-24,323.1600036621094
2022-10-25,328.8800048828125
2022-10-26,322.0199890136719
2022-10-27,331.5
2022-10-28,334.79998779296875
2022-10-31,332.239990234375
2022-11-01,333.44000244140625
2022-11-02,339.0299987792969
2022-11-03,352.07000732421875
2022-11-04,359.6499938964844
2022-11-07,347.92999267578125
2022-11-08,337.489990234375
2022-11-09,338.5400085449219
2022-11-10,357.82000732421875
2022-11-11,366.5199890136719
2022-11-14,370.2300109863281
2022-11-15,366.739990234375
2022-11-16,364.4700012207031
2022-11-17,366.7300109863281
2022-11-18,367.8900146484375
2022-11-21,377.8299865722656
2022-11-22,376.0700073242188
2022-11-23,391.739990234375
2022-11-25,389.05999755859375
2022-11-28,382.2900085449219
2022-11-29,383.05999755859375
2022-11-30,388.7300109863281
2022-12-01,385.5799865722656
2022-12-02,382.760009765625
2022-12-05,381.260009765625
2022-12-06,369.3599853515625
2022-12-07,372.1400146484375
2022-12-08,374.9400024414063
2022-12-09,362.6499938964844
2022-12-12,363.3500061035156
2022-12-13,361.8699951171875
2022-12-14,366.739990234375
2022-12-15,356.989990234375
2022-12-16,357.2300109863281
2022-12-19,356.3299865722656
2022-12-20,353.7300109863281
2022-12-21,358.3299865722656
2022-12-22,352.2099914550781
2022-12-23,353.0199890136719
2022-12-27,354.3999938964844
2022-12-28,344.4100036621094
2022-12-29,349.79998779296875
2022-12-30,346.3999938964844
2023-01-03,339.2699890136719
2023-01-04,344.3900146484375
2023-01-05,338.8299865722656
2023-01-06,342.6199951171875
2023-01-09,333.8800048828125
2023-01-10,339.7300109863281
2023-01-11,349.8500061035156
2023-01-12,337.6199951171875
2023-01-13,337.44000244140625
2023-01-17,344.19000244140625
2023-01-18,346.4800109863281
2023-01-19,348.8500061035156
2023-01-20,348.0400085449219
2023-01-23,345.45001220703125
2023-01-24,339.3399963378906
2023-01-25,350.6400146484375
2023-01-26,354.0400085449219
