,NDSN
2021-06-17,217.7700042724609
2021-06-18,215.259994506836
2021-06-21,219.5599975585937
2021-06-22,219.0200042724609
2021-06-23,217.8999938964844
2021-06-24,218.1000061035156
2021-06-25,220.6699981689453
2021-06-28,218.69000244140625
2021-06-29,219.6000061035156
2021-06-30,219.509994506836
2021-07-01,218.41000366210932
2021-07-02,220.1999969482422
2021-07-06,218.1300048828125
2021-07-07,221.07000732421875
2021-07-08,216.3800048828125
2021-07-09,221.3000030517578
2021-07-12,221.2899932861328
2021-07-13,219.9900054931641
2021-07-14,220.8099975585937
2021-07-15,222.25
2021-07-16,221.8699951171875
2021-07-19,218.5
2021-07-20,223.9199981689453
2021-07-21,224.5200042724609
2021-07-22,222.67999267578125
2021-07-23,224.9900054931641
2021-07-26,224.3000030517578
2021-07-27,221.3999938964844
2021-07-28,222.6999969482422
2021-07-29,225.0399932861328
2021-07-30,226.1300048828125
2021-08-02,227.0399932861328
2021-08-03,228.16000366210932
2021-08-04,226.509994506836
2021-08-05,225.5
2021-08-06,224.9199981689453
2021-08-09,222.1499938964844
2021-08-10,221.6300048828125
2021-08-11,223.3699951171875
2021-08-12,226.5599975585937
2021-08-13,228.58999633789065
2021-08-16,229.5500030517578
2021-08-17,228.8800048828125
2021-08-18,227.07000732421875
2021-08-19,226.13999938964844
2021-08-20,230.259994506836
2021-08-23,231.0200042724609
2021-08-24,233.3600006103516
2021-08-25,233.52999877929688
2021-08-26,232.5
2021-08-27,233.5399932861328
2021-08-30,238.82000732421875
2021-08-31,238.6000061035156
2021-09-01,240.94000244140625
2021-09-02,242.58999633789065
2021-09-03,241.4499969482422
2021-09-07,243.2700042724609
2021-09-08,244.92999267578125
2021-09-09,243.1100006103516
2021-09-10,241.08999633789065
2021-09-13,240.08999633789065
2021-09-14,242.0500030517578
2021-09-15,243.67999267578125
2021-09-16,243.3800048828125
2021-09-17,241.83999633789065
2021-09-20,240.72999572753903
2021-09-21,240.72000122070312
2021-09-22,241.57000732421875
2021-09-23,244.52999877929688
