,TT
2021-09-08,193.44000244140625
2021-09-09,190.1699981689453
2021-09-10,190.07000732421875
2021-09-13,188.7700042724609
2021-09-14,183.7400054931641
2021-09-15,186.97000122070312
2021-09-16,185.6199951171875
2021-09-17,183.8000030517578
2021-09-20,183.07000732421875
2021-09-21,181.509994506836
2021-09-22,182.3699951171875
2021-09-23,186.08999633789065
2021-09-24,183.2400054931641
2021-09-27,179.3800048828125
2021-09-28,176.3699951171875
2021-09-29,176.41000366210938
2021-09-30,172.64999389648438
2021-10-01,174.74000549316406
2021-10-04,174.9600067138672
2021-10-05,177.44000244140625
2021-10-06,176.91000366210938
2021-10-07,177.2100067138672
2021-10-08,172.02000427246094
2021-10-11,170.0
2021-10-12,169.6300048828125
2021-10-13,170.6300048828125
2021-10-14,175.07000732421875
2021-10-15,174.0
2021-10-18,175.66000366210938
2021-10-19,175.57000732421875
2021-10-20,176.50999450683594
2021-10-21,181.1499938964844
2021-10-22,181.16000366210932
2021-10-25,180.07000732421875
2021-10-26,180.05999755859375
2021-10-27,177.86000061035156
2021-10-28,181.75
2021-10-29,180.92999267578125
2021-11-01,181.3300018310547
2021-11-02,183.0
2021-11-03,178.3300018310547
2021-11-04,180.8999938964844
2021-11-05,184.69000244140625
2021-11-08,187.3000030517578
2021-11-09,189.5399932861328
2021-11-10,189.4499969482422
2021-11-11,188.6699981689453
2021-11-12,192.91000366210932
2021-11-15,191.13999938964844
2021-11-16,193.6300048828125
2021-11-17,194.0200042724609
2021-11-18,193.58999633789065
2021-11-19,195.9900054931641
2021-11-22,196.1000061035156
2021-11-23,195.57000732421875
2021-11-24,195.47999572753903
2021-11-26,194.25
2021-11-29,192.92999267578125
2021-11-30,186.6499938964844
2021-12-01,185.44000244140625
2021-12-02,190.5599975585937
2021-12-03,193.3000030517578
2021-12-06,193.5399932861328
2021-12-07,198.7400054931641
2021-12-08,201.47000122070312
2021-12-09,201.6499938964844
2021-12-10,202.69000244140625
2021-12-13,202.2400054931641
2021-12-14,199.8000030517578
2021-12-15,201.77999877929688
2021-12-16,202.16000366210932
2021-12-17,194.33999633789065
2021-12-20,191.8099975585937
2021-12-21,194.42999267578125
2021-12-22,196.19000244140625
2021-12-23,197.3000030517578
2021-12-27,200.0599975585937
2021-12-28,201.47000122070312
2021-12-29,202.509994506836
2021-12-30,200.82000732421875
2021-12-31,202.02999877929688
2022-01-03,194.8500061035156
2022-01-04,195.0
2022-01-05,192.6699981689453
2022-01-06,195.02999877929688
2022-01-07,189.2700042724609
2022-01-10,190.13999938964844
2022-01-11,193.47999572753903
2022-01-12,195.2400054931641
2022-01-13,188.0
2022-01-14,180.0
2022-01-18,178.42999267578125
2022-01-19,175.6999969482422
2022-01-20,173.75
2022-01-21,174.97999572753906
2022-01-24,176.25
2022-01-25,172.94000244140625
2022-01-26,172.5399932861328
2022-01-27,169.1999969482422
2022-01-28,172.1699981689453
2022-01-31,173.10000610351562
2022-02-01,167.17999267578125
2022-02-02,164.9499969482422
2022-02-03,161.5800018310547
2022-02-04,158.74000549316406
2022-02-07,156.97000122070312
2022-02-08,159.05999755859375
2022-02-09,162.17999267578125
2022-02-10,156.16000366210938
2022-02-11,152.17999267578125
2022-02-14,151.4499969482422
2022-02-15,154.0
2022-02-16,152.6300048828125
2022-02-17,151.42999267578125
2022-02-18,152.3300018310547
2022-02-22,150.74000549316406
2022-02-23,148.97000122070312
2022-02-24,151.22999572753906
2022-02-25,154.72999572753906
2022-02-28,153.92999267578125
2022-03-01,152.05999755859375
2022-03-02,155.22000122070312
2022-03-03,155.11000061035156
2022-03-04,151.30999755859375
2022-03-07,144.5399932861328
2022-03-08,142.77999877929688
2022-03-09,150.97000122070312
2022-03-10,148.85000610351562
2022-03-11,148.8300018310547
2022-03-14,151.17999267578125
2022-03-15,152.2899932861328
2022-03-16,156.5
2022-03-17,157.42999267578125
2022-03-18,158.72000122070312
2022-03-21,156.3300018310547
