,IRM
2020-03-30,24.850000381469727
2020-03-31,23.799999237060547
2020-04-01,22.21999931335449
2020-04-02,21.520000457763672
2020-04-03,22.059999465942383
2020-04-06,23.309999465942383
2020-04-07,24.65999984741211
2020-04-08,25.950000762939453
2020-04-09,27.11000061035156
2020-04-13,26.239999771118164
2020-04-14,26.670000076293945
2020-04-15,24.61000061035156
2020-04-16,24.25
2020-04-17,24.989999771118164
2020-04-20,24.670000076293945
2020-04-21,24.700000762939453
2020-04-22,24.5
2020-04-23,24.43000030517578
2020-04-24,23.530000686645508
2020-04-27,24.43000030517578
2020-04-28,24.790000915527344
2020-04-29,24.950000762939453
2020-04-30,24.18000030517578
2020-05-01,23.600000381469727
2020-05-04,22.920000076293945
