,WTW
2018-05-24,156.55999755859375
2018-05-25,155.25999450683594
2018-05-29,150.75
2018-05-30,152.89999389648438
2018-05-31,151.14999389648438
2018-06-01,151.72000122070312
2018-06-04,152.72999572753906
2018-06-05,153.13999938964844
2018-06-06,154.91000366210938
2018-06-07,155.88999938964844
2018-06-08,158.1300048828125
2018-06-11,157.50999450683594
2018-06-12,157.27000427246094
2018-06-13,157.0
2018-06-14,156.0399932861328
2018-06-15,154.8800048828125
2018-06-18,154.97999572753906
2018-06-19,153.9600067138672
2018-06-20,153.4499969482422
2018-06-21,152.39999389648438
2018-06-22,154.16000366210938
2018-06-25,153.55999755859375
2018-06-26,152.42999267578125
2018-06-27,150.3300018310547
2018-06-28,151.33999633789062
2018-06-29,151.60000610351562
2018-07-02,152.1300048828125
2018-07-03,152.3000030517578
2018-07-05,153.86000061035156
2018-07-06,155.92999267578125
2018-07-09,158.6999969482422
2018-07-10,157.9199981689453
2018-07-11,156.91000366210938
2018-07-12,157.69000244140625
2018-07-13,158.0399932861328
2018-07-16,157.55999755859375
2018-07-17,157.27000427246094
2018-07-18,158.77999877929688
2018-07-19,158.83999633789062
2018-07-20,159.6199951171875
2018-07-23,160.58999633789062
2018-07-24,161.4600067138672
2018-07-25,163.0399932861328
2018-07-26,162.22000122070312
2018-07-27,160.6199951171875
2018-07-30,159.55999755859375
2018-07-31,159.4199981689453
2018-08-01,159.14999389648438
2018-08-02,145.72999572753906
2018-08-03,148.82000732421875
2018-08-06,149.39999389648438
2018-08-07,151.16000366210938
2018-08-08,151.52000427246094
2018-08-09,151.61000061035156
2018-08-10,149.72999572753906
2018-08-13,147.9499969482422
2018-08-14,147.1300048828125
2018-08-15,148.1999969482422
2018-08-16,149.14999389648438
2018-08-17,148.88999938964844
2018-08-20,148.02999877929688
2018-08-21,148.42999267578125
2018-08-22,147.6999969482422
2018-08-23,146.55999755859375
2018-08-24,146.97999572753906
2018-08-27,147.72999572753906
2018-08-28,147.91000366210938
2018-08-29,148.39999389648438
2018-08-30,146.6999969482422
2018-08-31,147.27000427246094
2018-09-04,147.69000244140625
2018-09-05,147.74000549316406
2018-09-06,149.57000732421875
2018-09-07,148.41000366210938
2018-09-10,148.17999267578125
2018-09-11,148.32000732421875
2018-09-12,146.1999969482422
2018-09-13,146.5800018310547
2018-09-14,146.9499969482422
2018-09-17,146.36000061035156
2018-09-18,146.08999633789062
2018-09-19,148.35000610351562
2018-09-20,148.5
2018-09-21,148.47999572753906
2018-09-24,145.0399932861328
2018-09-25,142.83999633789062
2018-09-26,140.9600067138672
2018-09-27,140.7899932861328
