,LVS
2018-10-16,57.27000045776367
2018-10-17,57.36000061035156
2018-10-18,56.040000915527344
2018-10-19,55.65999984741211
2018-10-22,54.88999938964844
2018-10-23,53.369998931884766
2018-10-24,52.0
2018-10-25,54.2599983215332
2018-10-26,52.38999938964844
2018-10-29,50.72999954223633
2018-10-30,50.88999938964844
2018-10-31,51.02999877929688
2018-11-01,57.060001373291016
2018-11-02,56.25
2018-11-05,55.119998931884766
2018-11-06,55.40999984741211
2018-11-07,56.56999969482422
2018-11-08,53.709999084472656
2018-11-09,52.09000015258789
2018-11-12,51.0
2018-11-13,51.54999923706055
2018-11-14,52.47999954223633
2018-11-15,53.72999954223633
2018-11-16,53.810001373291016
2018-11-19,50.45000076293945
2018-11-20,50.33000183105469
2018-11-21,51.959999084472656
2018-11-23,50.7400016784668
2018-11-26,54.43999862670898
2018-11-27,54.11000061035156
2018-11-28,55.150001525878906
2018-11-29,54.470001220703125
2018-11-30,54.93999862670898
2018-12-03,58.34000015258789
2018-12-04,55.56999969482422
2018-12-06,55.68999862670898
2018-12-07,53.34000015258789
2018-12-10,53.459999084472656
2018-12-11,54.2400016784668
2018-12-12,55.43000030517578
2018-12-13,55.09999847412109
2018-12-14,54.84000015258789
2018-12-17,52.61000061035156
2018-12-18,52.959999084472656
2018-12-19,51.220001220703125
2018-12-20,50.34000015258789
2018-12-21,48.5099983215332
2018-12-24,48.43999862670898
2018-12-26,51.45000076293945
2018-12-27,51.13999938964844
2018-12-28,50.880001068115234
2018-12-31,52.04999923706055
2019-01-02,54.15999984741211
2019-01-03,52.220001220703125
2019-01-04,55.16999816894531
2019-01-07,55.470001220703125
2019-01-08,56.58000183105469
2019-01-09,56.91999816894531
2019-01-10,56.72999954223633
2019-01-11,56.959999084472656
2019-01-14,55.810001373291016
2019-01-15,56.59999847412109
2019-01-16,56.77999877929688
2019-01-17,57.04999923706055
2019-01-18,57.70000076293945
2019-01-22,57.04999923706055
2019-01-23,57.290000915527344
2019-01-24,56.369998931884766
2019-01-25,56.95000076293945
2019-01-28,56.2599983215332
2019-01-29,56.27000045776367
2019-01-30,59.0099983215332
2019-01-31,58.36000061035156
2019-02-01,59.88999938964844
2019-02-04,59.09999847412109
2019-02-05,59.650001525878906
2019-02-06,60.86000061035156
2019-02-07,59.45000076293945
2019-02-08,59.0099983215332
2019-02-11,59.59999847412109
2019-02-12,60.130001068115234
2019-02-13,60.369998931884766
2019-02-14,59.369998931884766
2019-02-15,60.310001373291016
2019-02-19,61.150001525878906
2019-02-20,61.34999847412109
2019-02-21,61.5099983215332
2019-02-22,61.61000061035156
2019-02-25,61.06999969482422
2019-02-26,61.77999877929688
2019-02-27,61.43000030517578
2019-02-28,61.43000030517578
2019-03-01,60.400001525878906
2019-03-04,59.65999984741211
2019-03-05,59.61000061035156
2019-03-06,60.65999984741211
2019-03-07,59.9900016784668
2019-03-08,60.2400016784668
2019-03-11,60.150001525878906
2019-03-12,59.15999984741211
2019-03-13,59.34000015258789
2019-03-14,59.41999816894531
2019-03-15,59.7599983215332
2019-03-18,60.08000183105469
2019-03-19,59.29999923706055
2019-03-20,59.13999938964844
2019-03-21,61.20000076293945
2019-03-22,59.56999969482422
2019-03-25,59.27999877929688
2019-03-26,60.09999847412109
2019-03-27,59.02999877929688
2019-03-28,60.33000183105469
2019-03-29,60.959999084472656
2019-04-01,63.34999847412109
2019-04-02,64.8499984741211
2019-04-03,64.16999816894531
2019-04-04,65.61000061035156
2019-04-05,65.91999816894531
2019-04-08,66.04000091552734
2019-04-09,65.52999877929688
2019-04-10,65.8499984741211
2019-04-11,66.08000183105469
2019-04-12,66.87000274658203
2019-04-15,66.52999877929688
2019-04-16,68.16000366210938
2019-04-17,67.91000366210938
2019-04-18,68.22000122070312
2019-04-22,66.83000183105469
2019-04-23,67.06999969482422
2019-04-24,67.04000091552734
2019-04-25,67.13999938964844
2019-04-26,67.86000061035156
2019-04-29,68.06999969482422
2019-04-30,67.05000305175781
2019-05-01,67.87000274658203
2019-05-02,67.43000030517578
2019-05-03,68.44000244140625
2019-05-06,66.56999969482422
2019-05-07,64.44999694824219
2019-05-08,65.31999969482422
2019-05-09,64.87999725341797
2019-05-10,65.47000122070312
2019-05-13,62.11000061035156
2019-05-14,62.720001220703125
2019-05-15,62.95000076293945
2019-05-16,63.400001525878906
2019-05-17,60.310001373291016
2019-05-20,59.220001220703125
2019-05-21,58.68000030517578
2019-05-22,58.59000015258789
2019-05-23,56.970001220703125
2019-05-24,57.43000030517578
2019-05-28,56.84000015258789
2019-05-29,56.65999984741211
