,KKR
2019-10-21,27.790000915527344
2019-10-22,27.46999931335449
2019-10-23,28.600000381469727
2019-10-24,27.90999984741211
2019-10-25,28.149999618530277
2019-10-28,28.700000762939453
2019-10-29,28.63999938964844
2019-10-30,28.81999969482422
2019-10-31,28.82999992370605
2019-11-01,29.459999084472656
2019-11-04,29.0
2019-11-05,29.36000061035156
2019-11-06,29.299999237060547
2019-11-07,29.049999237060547
2019-11-08,29.149999618530277
2019-11-11,29.26000022888184
2019-11-12,29.420000076293945
2019-11-13,29.399999618530277
2019-11-14,29.799999237060547
2019-11-15,29.84000015258789
2019-11-18,29.459999084472656
2019-11-19,29.1299991607666
2019-11-20,29.309999465942383
2019-11-21,29.059999465942383
2019-11-22,29.13999938964844
2019-11-25,29.540000915527344
2019-11-26,29.649999618530277
2019-11-27,29.770000457763672
2019-11-29,29.489999771118164
2019-12-02,28.989999771118164
2019-12-03,28.26000022888184
2019-12-04,28.71999931335449
2019-12-05,29.11000061035156
2019-12-06,29.1299991607666
2019-12-09,28.989999771118164
2019-12-10,29.1299991607666
2019-12-11,29.13999938964844
2019-12-12,29.26000022888184
2019-12-13,29.149999618530277
2019-12-16,29.51000022888184
2019-12-17,29.40999984741211
2019-12-18,29.34000015258789
2019-12-19,29.780000686645508
2019-12-20,29.649999618530277
2019-12-23,29.040000915527344
2019-12-24,29.0
2019-12-26,29.280000686645508
2019-12-27,29.170000076293945
2019-12-30,29.049999237060547
2019-12-31,29.170000076293945
2020-01-02,29.3700008392334
2020-01-03,29.020000457763672
2020-01-06,29.049999237060547
2020-01-07,29.06999969482422
2020-01-08,29.65999984741211
2020-01-09,29.940000534057617
2020-01-10,29.979999542236328
2020-01-13,30.0
2020-01-14,29.290000915527344
2020-01-15,29.530000686645508
2020-01-16,30.51000022888184
2020-01-17,31.200000762939453
2020-01-21,30.729999542236328
2020-01-22,31.489999771118164
2020-01-23,31.200000762939453
2020-01-24,30.690000534057617
2020-01-27,30.309999465942383
2020-01-28,30.43000030517578
2020-01-29,31.020000457763672
2020-01-30,30.38999938964844
2020-01-31,31.899999618530277
2020-02-03,31.739999771118164
2020-02-04,32.599998474121094
2020-02-05,33.13999938964844
2020-02-06,33.689998626708984
2020-02-07,33.31999969482422
2020-02-10,33.599998474121094
2020-02-11,33.81999969482422
2020-02-12,33.36000061035156
2020-02-13,33.5099983215332
2020-02-14,33.540000915527344
2020-02-18,33.56999969482422
2020-02-19,33.93000030517578
2020-02-20,33.70000076293945
2020-02-21,33.11000061035156
2020-02-24,31.6299991607666
2020-02-25,30.190000534057617
2020-02-26,30.15999984741211
2020-02-27,28.850000381469727
2020-02-28,28.600000381469727
2020-03-02,29.989999771118164
2020-03-03,28.959999084472656
2020-03-04,29.43000030517578
2020-03-05,28.190000534057617
2020-03-06,26.950000762939453
2020-03-09,23.850000381469727
2020-03-10,25.420000076293945
2020-03-11,24.1200008392334
2020-03-12,22.020000457763672
2020-03-13,25.350000381469727
2020-03-16,21.8799991607666
2020-03-17,21.709999084472656
2020-03-18,19.540000915527344
2020-03-19,20.600000381469727
2020-03-20,19.06999969482422
2020-03-23,18.5
2020-03-24,21.84000015258789
2020-03-25,24.0
2020-03-26,25.600000381469727
2020-03-27,24.559999465942383
2020-03-30,24.520000457763672
2020-03-31,23.46999931335449
2020-04-01,21.920000076293945
2020-04-02,21.959999084472656
2020-04-03,22.21999931335449
2020-04-06,24.36000061035156
2020-04-07,24.1200008392334
2020-04-08,24.690000534057617
2020-04-09,25.299999237060547
2020-04-13,23.950000762939453
2020-04-14,24.209999084472656
2020-04-15,23.25
2020-04-16,23.1200008392334
2020-04-17,23.920000076293945
2020-04-20,22.950000762939453
2020-04-21,21.84000015258789
2020-04-22,22.170000076293945
2020-04-23,23.100000381469727
2020-04-24,23.61000061035156
2020-04-27,24.959999084472656
2020-04-28,25.420000076293945
2020-04-29,26.489999771118164
2020-04-30,25.209999084472656
2020-05-01,24.3799991607666
2020-05-04,24.270000457763672
2020-05-05,24.600000381469727
2020-05-06,26.030000686645508
2020-05-07,26.88999938964844
2020-05-08,26.65999984741211
2020-05-11,26.399999618530277
2020-05-12,25.709999084472656
2020-05-13,24.3700008392334
2020-05-14,24.850000381469727
2020-05-15,24.729999542236328
2020-05-18,25.850000381469727
2020-05-19,25.8700008392334
2020-05-20,26.690000534057617
2020-05-21,26.549999237060547
2020-05-22,26.84000015258789
2020-05-26,28.559999465942383
2020-05-27,28.670000076293945
2020-05-28,28.270000457763672
2020-05-29,27.75
2020-06-01,28.290000915527344
2020-06-02,29.34000015258789
2020-06-03,30.18000030517578
2020-06-04,30.309999465942383
2020-06-05,30.36000061035156
2020-06-08,31.700000762939453
2020-06-09,31.549999237060547
2020-06-10,30.63999938964844
2020-06-11,27.950000762939453
2020-06-12,29.149999618530277
2020-06-15,30.11000061035156
2020-06-16,30.649999618530277
2020-06-17,30.82999992370605
2020-06-18,31.709999084472656
2020-06-19,31.799999237060547
2020-06-22,31.32999992370605
2020-06-23,31.489999771118164
2020-06-24,30.309999465942383
2020-06-25,31.46999931335449
2020-06-26,29.59000015258789
2020-06-29,30.170000076293945
2020-06-30,30.8799991607666
2020-07-01,30.850000381469727
2020-07-02,31.200000762939453
2020-07-06,31.57999992370605
2020-07-07,30.799999237060547
2020-07-08,33.880001068115234
2020-07-09,34.72999954223633
2020-07-10,34.88999938964844
2020-07-13,34.189998626708984
2020-07-14,34.4900016784668
2020-07-15,35.0099983215332
2020-07-16,34.66999816894531
2020-07-17,34.97999954223633
2020-07-20,35.0099983215332
2020-07-21,35.619998931884766
2020-07-22,35.56999969482422
2020-07-23,35.04999923706055
2020-07-24,34.689998626708984
2020-07-27,35.20000076293945
2020-07-28,34.959999084472656
2020-07-29,35.90999984741211
2020-07-30,35.40999984741211
2020-07-31,35.369998931884766
2020-08-03,35.79999923706055
2020-08-04,36.22999954223633
2020-08-05,36.310001373291016
2020-08-06,36.63999938964844
2020-08-07,36.900001525878906
2020-08-10,37.0099983215332
2020-08-11,35.0
2020-08-12,36.36000061035156
2020-08-13,36.369998931884766
2020-08-14,36.630001068115234
2020-08-17,36.02999877929688
2020-08-18,35.72999954223633
