,RVTY
2017-09-11,68.30000305175781
2017-09-12,68.55999755859375
2017-09-13,68.52999877929688
2017-09-14,68.72000122070312
2017-09-15,69.08000183105469
2017-09-18,69.4800033569336
2017-09-19,69.05999755859375
2017-09-20,68.98999786376953
2017-09-21,68.19999694824219
2017-09-22,68.16999816894531
2017-09-25,68.44999694824219
2017-09-26,68.18000030517578
2017-09-27,68.45999908447266
2017-09-28,68.33999633789062
2017-09-29,68.97000122070312
2017-10-02,69.47000122070312
2017-10-03,70.08000183105469
2017-10-04,70.19999694824219
2017-10-05,70.44000244140625
2017-10-06,70.61000061035156
2017-10-09,70.62000274658203
2017-10-10,70.87999725341797
2017-10-11,71.5
2017-10-12,71.80999755859375
2017-10-13,71.38999938964844
2017-10-16,71.25
2017-10-17,70.41000366210938
2017-10-18,70.19000244140625
2017-10-19,71.31999969482422
2017-10-20,71.7300033569336
2017-10-23,71.63999938964844
2017-10-24,71.61000061035156
2017-10-25,71.41999816894531
2017-10-26,72.0999984741211
2017-10-27,72.72000122070312
2017-10-30,71.83000183105469
2017-10-31,72.31999969482422
2017-11-01,72.2699966430664
2017-11-02,72.06999969482422
2017-11-03,70.62000274658203
2017-11-06,70.55000305175781
2017-11-07,71.12999725341797
2017-11-08,71.4800033569336
2017-11-09,71.45999908447266
2017-11-10,71.33000183105469
2017-11-13,71.2699966430664
2017-11-14,71.61000061035156
2017-11-15,71.12999725341797
2017-11-16,72.30000305175781
2017-11-17,72.30999755859375
2017-11-20,72.75
2017-11-21,73.26000213623047
2017-11-22,73.04000091552734
2017-11-24,73.36000061035156
2017-11-27,73.55999755859375
2017-11-28,73.80000305175781
2017-11-29,73.18000030517578
2017-11-30,73.68000030517578
2017-12-01,73.12000274658203
2017-12-04,69.77999877929688
2017-12-05,69.36000061035156
2017-12-06,69.54000091552734
2017-12-07,70.11000061035156
2017-12-08,71.02999877929688
2017-12-11,70.80999755859375
2017-12-12,71.12000274658203
2017-12-13,71.30999755859375
2017-12-14,70.83000183105469
2017-12-15,72.12999725341797
2017-12-18,73.16000366210938
2017-12-19,73.83999633789062
2017-12-20,73.6500015258789
2017-12-21,73.27999877929688
2017-12-22,73.05000305175781
2017-12-26,73.05000305175781
2017-12-27,73.08999633789062
2017-12-28,73.41999816894531
2017-12-29,73.12000274658203
2018-01-02,73.91000366210938
2018-01-03,76.16000366210938
2018-01-04,76.36000061035156
2018-01-05,76.94000244140625
