,CASY
2025-01-13,392.5400085449219
2025-01-14,395.0
2025-01-15,391.2999877929688
2025-01-16,390.9800109863281
2025-01-17,391.510009765625
2025-01-21,402.4100036621094
2025-01-22,401.2099914550781
2025-01-23,407.7900085449219
2025-01-24,411.25
2025-01-27,419.989990234375
2025-01-28,415.7000122070313
2025-01-29,419.5899963378906
2025-01-30,423.05999755859375
2025-01-31,421.7699890136719
2025-02-03,419.5799865722656
2025-02-04,420.989990234375
2025-02-05,429.4200134277344
2025-02-06,435.2699890136719
2025-02-07,426.8200073242188
2025-02-10,432.1700134277344
2025-02-11,427.5499877929688
2025-02-12,435.3500061035156
2025-02-13,442.5400085449219
2025-02-14,432.1700134277344
2025-02-18,425.9800109863281
2025-02-19,426.2099914550781
2025-02-20,420.5400085449219
2025-02-21,405.5899963378906
2025-02-24,414.55999755859375
2025-02-25,422.739990234375
2025-02-26,416.0
2025-02-27,409.0899963378906
2025-02-28,414.2099914550781
2025-03-03,408.0
2025-03-04,408.0299987792969
2025-03-05,404.8200073242188
2025-03-06,395.2999877929688
2025-03-07,398.7300109863281
2025-03-10,381.6799926757813
2025-03-11,378.7099914550781
2025-03-12,402.0700073242188
2025-03-13,385.0199890136719
2025-03-14,395.6300048828125
2025-03-17,399.6799926757813
2025-03-18,386.8900146484375
