,WRB
2022-05-04,46.00666809082031
2022-05-05,45.37333297729492
2022-05-06,45.85333251953125
2022-05-09,44.81999969482422
2022-05-10,44.23333358764648
2022-05-11,44.43999862670898
2022-05-12,44.23333358764648
2022-05-13,44.88666534423828
2022-05-16,45.08666610717773
2022-05-17,46.0533332824707
2022-05-18,45.27333450317383
2022-05-19,44.19333267211914
2022-05-20,44.31999969482422
2022-05-23,45.22666549682617
2022-05-24,45.84000015258789
2022-05-25,46.00666809082031
2022-05-26,46.7400016784668
2022-05-27,47.20000076293945
2022-05-31,47.41999816894531
2022-06-01,47.11333465576172
2022-06-02,47.26666641235352
2022-06-03,47.073333740234375
2022-06-06,47.706668853759766
2022-06-07,48.18000030517578
2022-06-08,47.3466682434082
2022-06-09,46.43333435058594
2022-06-10,45.50666809082031
2022-06-13,44.20000076293945
2022-06-14,44.49333190917969
2022-06-15,44.67333221435547
2022-06-16,44.20000076293945
2022-06-17,44.54666519165039
2022-06-21,45.02000045776367
2022-06-22,44.619998931884766
2022-06-23,43.96666717529297
2022-06-24,45.35333251953125
2022-06-27,46.12666702270508
2022-06-28,46.060001373291016
2022-06-29,44.926666259765625
2022-06-30,45.50666809082031
2022-07-01,46.2400016784668
2022-07-05,45.206668853759766
2022-07-06,45.31333160400391
2022-07-07,45.03333282470703
2022-07-08,44.87333297729492
2022-07-11,44.85333251953125
2022-07-12,43.98666763305664
2022-07-13,43.74666595458984
2022-07-14,41.47999954223633
2022-07-15,42.02000045776367
2022-07-18,41.473331451416016
2022-07-19,42.633331298828125
2022-07-20,42.4466667175293
2022-07-21,42.91999816894531
2022-07-22,41.76666641235352
2022-07-25,42.48666763305664
2022-07-26,42.36666870117188
2022-07-27,42.43333435058594
2022-07-28,41.20000076293945
2022-07-29,41.686668395996094
2022-08-01,40.9466667175293
2022-08-02,40.7400016784668
2022-08-03,41.426666259765625
2022-08-04,40.78666687011719
2022-08-05,41.220001220703125
2022-08-08,41.36666870117188
2022-08-09,41.98666763305664
2022-08-10,42.72666549682617
2022-08-11,43.49333190917969
2022-08-12,43.95333480834961
