,BKR
2021-01-15,22.8700008392334
2021-01-19,22.8700008392334
2021-01-20,22.88999938964844
2021-01-21,22.549999237060547
2021-01-22,22.170000076293945
2021-01-25,21.049999237060547
2021-01-26,20.61000061035156
2021-01-27,20.40999984741211
2021-01-28,20.600000381469727
2021-01-29,20.09000015258789
2021-02-01,20.309999465942383
2021-02-02,20.38999938964844
2021-02-03,21.39999961853028
2021-02-04,22.36000061035156
2021-02-05,22.07999992370605
2021-02-08,22.549999237060547
2021-02-09,22.270000457763672
2021-02-10,23.01000022888184
2021-02-11,22.530000686645508
2021-02-12,22.700000762939453
2021-02-16,23.229999542236328
2021-02-17,23.549999237060547
2021-02-18,23.07999992370605
2021-02-19,23.39999961853028
2021-02-22,24.1299991607666
2021-02-23,23.90999984741211
2021-02-24,25.14999961853028
2021-02-25,24.729999542236328
2021-02-26,24.479999542236328
2021-03-01,24.979999542236328
2021-03-02,24.3700008392334
2021-03-03,24.459999084472656
2021-03-04,24.030000686645508
2021-03-05,24.350000381469727
2021-03-08,24.32999992370605
2021-03-09,23.950000762939453
2021-03-10,24.3799991607666
2021-03-11,24.15999984741211
2021-03-12,24.3700008392334
2021-03-15,24.21999931335449
2021-03-16,23.020000457763672
2021-03-17,23.979999542236328
2021-03-18,22.979999542236328
2021-03-19,22.6200008392334
2021-03-22,22.309999465942383
2021-03-23,21.690000534057617
2021-03-24,22.06999969482422
2021-03-25,21.530000686645508
2021-03-26,22.34000015258789
2021-03-29,22.15999984741211
2021-03-30,21.729999542236328
2021-03-31,21.61000061035156
2021-04-01,21.729999542236328
2021-04-05,21.40999984741211
2021-04-06,21.25
2021-04-07,21.43000030517578
2021-04-08,20.709999084472656
2021-04-09,20.11000061035156
2021-04-12,20.09000015258789
2021-04-13,19.8799991607666
2021-04-14,20.350000381469727
2021-04-15,19.89999961853028
2021-04-16,20.100000381469727
2021-04-19,20.030000686645508
2021-04-20,19.51000022888184
2021-04-21,19.549999237060547
2021-04-22,19.81999969482422
2021-04-23,20.01000022888184
2021-04-26,20.13999938964844
2021-04-27,19.920000076293945
2021-04-28,20.25
2021-04-29,20.540000915527344
2021-04-30,20.07999992370605
2021-05-03,21.690000534057617
2021-05-04,21.56999969482422
2021-05-05,22.600000381469727
2021-05-06,23.06999969482422
2021-05-07,24.6299991607666
2021-05-10,24.6299991607666
2021-05-11,24.809999465942383
2021-05-12,23.96999931335449
2021-05-13,24.350000381469727
2021-05-14,25.100000381469727
2021-05-17,26.309999465942383
2021-05-18,25.809999465942383
2021-05-19,25.229999542236328
2021-05-20,25.38999938964844
2021-05-21,25.540000915527344
2021-05-24,25.14999961853028
2021-05-25,24.13999938964844
2021-05-26,24.170000076293945
2021-05-27,24.34000015258789
2021-05-28,24.39999961853028
2021-06-01,25.520000457763672
2021-06-02,26.270000457763672
2021-06-03,25.86000061035156
2021-06-04,26.020000457763672
2021-06-07,25.940000534057617
2021-06-08,25.950000762939453
2021-06-09,25.809999465942383
2021-06-10,25.51000022888184
2021-06-11,25.90999984741211
2021-06-14,24.739999771118164
2021-06-15,24.950000762939453
2021-06-16,24.700000762939453
2021-06-17,23.979999542236328
2021-06-18,22.670000076293945
2021-06-21,23.84000015258789
2021-06-22,23.88999938964844
2021-06-23,23.32999992370605
2021-06-24,23.549999237060547
2021-06-25,23.549999237060547
2021-06-28,22.64999961853028
2021-06-29,22.68000030517578
2021-06-30,22.8700008392334
2021-07-01,23.540000915527344
2021-07-02,23.549999237060547
2021-07-06,22.40999984741211
2021-07-07,22.26000022888184
2021-07-08,21.96999931335449
2021-07-09,22.729999542236328
2021-07-12,23.020000457763672
2021-07-13,22.3700008392334
2021-07-14,21.670000076293945
2021-07-15,21.21999931335449
2021-07-16,20.600000381469727
2021-07-19,19.64999961853028
2021-07-20,20.040000915527344
2021-07-21,20.229999542236328
2021-07-22,19.8799991607666
2021-07-23,20.209999084472656
2021-07-26,20.88999938964844
2021-07-27,20.670000076293945
2021-07-28,21.0
2021-07-29,21.18000030517578
2021-07-30,21.239999771118164
2021-08-02,20.86000061035156
2021-08-03,21.309999465942383
2021-08-04,20.6299991607666
2021-08-05,20.86000061035156
2021-08-06,21.190000534057617
2021-08-09,21.09000015258789
2021-08-10,21.36000061035156
2021-08-11,21.51000022888184
2021-08-12,21.350000381469727
2021-08-13,21.65999984741211
2021-08-16,21.280000686645508
2021-08-17,21.38999938964844
2021-08-18,21.18000030517578
2021-08-19,20.190000534057617
2021-08-20,20.43000030517578
2021-08-23,21.520000457763672
2021-08-24,22.190000534057617
2021-08-25,22.36000061035156
2021-08-26,22.299999237060547
2021-08-27,23.06999969482422
2021-08-30,22.799999237060547
2021-08-31,22.780000686645508
2021-09-01,22.5
2021-09-02,23.350000381469727
2021-09-03,23.15999984741211
2021-09-07,23.020000457763672
2021-09-08,22.709999084472656
2021-09-09,23.51000022888184
2021-09-10,23.86000061035156
2021-09-13,24.38999938964844
2021-09-14,24.34000015258789
2021-09-15,25.1299991607666
2021-09-16,24.38999938964844
2021-09-17,23.940000534057617
2021-09-20,22.8799991607666
2021-09-21,23.239999771118164
2021-09-22,23.440000534057617
2021-09-23,24.040000915527344
2021-09-24,24.21999931335449
2021-09-27,24.920000076293945
2021-09-28,24.920000076293945
2021-09-29,25.049999237060547
2021-09-30,24.729999542236328
2021-10-01,25.18000030517578
2021-10-04,25.450000762939453
2021-10-05,25.34000015258789
2021-10-06,24.780000686645508
2021-10-07,24.790000915527344
2021-10-08,25.239999771118164
2021-10-11,25.450000762939453
2021-10-12,25.75
2021-10-13,26.25
2021-10-14,26.82999992370605
2021-10-15,26.88999938964844
2021-10-18,26.959999084472656
2021-10-19,26.8700008392334
2021-10-20,25.350000381469727
2021-10-21,24.270000457763672
2021-10-22,24.63999938964844
2021-10-25,25.15999984741211
2021-10-26,25.690000534057617
2021-10-27,25.01000022888184
2021-10-28,25.3700008392334
2021-10-29,25.07999992370605
2021-11-01,25.809999465942383
2021-11-02,25.89999961853028
2021-11-03,25.32999992370605
2021-11-04,24.940000534057617
2021-11-05,24.799999237060547
2021-11-08,24.89999961853028
2021-11-09,25.280000686645508
2021-11-10,24.07999992370605
2021-11-11,24.34000015258789
2021-11-12,24.36000061035156
2021-11-15,24.729999542236328
2021-11-16,25.21999931335449
2021-11-17,24.34000015258789
2021-11-18,23.93000030517578
2021-11-19,22.549999237060547
2021-11-22,22.64999961853028
2021-11-23,23.76000022888184
2021-11-24,24.1200008392334
2021-11-26,23.059999465942383
2021-11-29,23.530000686645508
2021-11-30,23.34000015258789
2021-12-01,23.420000076293945
2021-12-02,24.0
2021-12-03,23.940000534057617
2021-12-06,24.420000076293945
2021-12-07,24.8799991607666
2021-12-08,24.950000762939453
2021-12-09,24.8700008392334
2021-12-10,25.440000534057617
2021-12-13,24.559999465942383
2021-12-14,24.07999992370605
2021-12-15,23.82999992370605
2021-12-16,24.270000457763672
2021-12-17,23.68000030517578
2021-12-20,23.06999969482422
2021-12-21,23.790000915527344
2021-12-22,23.920000076293945
2021-12-23,24.21999931335449
2021-12-27,24.6200008392334
2021-12-28,24.57999992370605
2021-12-29,24.270000457763672
2021-12-30,23.950000762939453
2021-12-31,24.059999465942383
2022-01-03,25.040000915527344
2022-01-04,25.59000015258789
2022-01-05,25.68000030517578
2022-01-06,25.950000762939453
2022-01-07,26.1200008392334
2022-01-10,26.06999969482422
2022-01-11,26.959999084472656
2022-01-12,26.729999542236328
2022-01-13,26.270000457763672
2022-01-14,27.459999084472656
2022-01-18,26.799999237060547
2022-01-19,26.290000915527344
2022-01-20,26.71999931335449
2022-01-21,27.239999771118164
2022-01-24,27.06999969482422
2022-01-25,27.93000030517578
2022-01-26,27.520000457763672
2022-01-27,27.299999237060547
2022-01-28,27.15999984741211
2022-01-31,27.440000534057617
2022-02-01,27.5
2022-02-02,26.8700008392334
2022-02-03,26.36000061035156
2022-02-04,26.59000015258789
2022-02-07,27.530000686645508
2022-02-08,27.36000061035156
2022-02-09,27.64999961853028
2022-02-10,27.440000534057617
2022-02-11,29.13999938964844
2022-02-14,28.540000915527344
2022-02-15,28.790000915527344
2022-02-16,29.709999084472656
2022-02-17,29.43000030517578
2022-02-18,29.11000061035156
2022-02-22,28.600000381469727
2022-02-23,29.049999237060547
2022-02-24,28.71999931335449
2022-02-25,29.5
2022-02-28,29.3799991607666
2022-03-01,28.34000015258789
2022-03-02,30.38999938964844
2022-03-03,31.209999084472656
2022-03-04,33.220001220703125
2022-03-07,34.779998779296875
2022-03-08,34.79999923706055
2022-03-09,33.810001373291016
2022-03-10,36.7400016784668
2022-03-11,37.63999938964844
2022-03-14,36.97999954223633
2022-03-15,34.869998931884766
2022-03-16,33.650001525878906
2022-03-17,34.97999954223633
2022-03-18,35.290000915527344
2022-03-21,36.220001220703125
2022-03-22,36.540000915527344
2022-03-23,37.59000015258789
2022-03-24,38.290000915527344
2022-03-25,38.720001220703125
2022-03-28,37.0
2022-03-29,36.66999816894531
2022-03-30,37.34999847412109
2022-03-31,36.40999984741211
2022-04-01,36.41999816894531
2022-04-04,36.43000030517578
2022-04-05,35.52000045776367
2022-04-06,35.720001220703125
2022-04-07,36.119998931884766
2022-04-08,37.52000045776367
2022-04-11,36.470001220703125
2022-04-12,36.31999969482422
2022-04-13,37.220001220703125
2022-04-14,37.290000915527344
2022-04-18,37.43000030517578
2022-04-19,36.7400016784668
2022-04-20,35.33000183105469
2022-04-21,32.90999984741211
2022-04-22,32.20000076293945
2022-04-25,30.739999771118164
2022-04-26,31.350000381469727
2022-04-27,31.280000686645508
2022-04-28,31.96999931335449
2022-04-29,31.020000457763672
2022-05-02,30.90999984741211
2022-05-03,31.5
2022-05-04,32.84000015258789
2022-05-05,32.02000045776367
2022-05-06,32.130001068115234
2022-05-09,30.049999237060547
2022-05-10,30.81999969482422
2022-05-11,32.4900016784668
2022-05-12,31.90999984741211
2022-05-13,34.11000061035156
2022-05-16,34.93000030517578
2022-05-17,35.15999984741211
2022-05-18,34.63999938964844
2022-05-19,34.970001220703125
2022-05-20,34.54999923706055
2022-05-23,35.709999084472656
2022-05-24,36.27999877929688
2022-05-25,35.720001220703125
2022-05-26,37.09999847412109
2022-05-27,37.18000030517578
2022-05-31,35.97999954223633
2022-06-01,37.40999984741211
2022-06-02,36.90999984741211
2022-06-03,37.81999969482422
2022-06-06,37.68000030517578
2022-06-07,37.65999984741211
2022-06-08,37.4900016784668
2022-06-09,36.08000183105469
2022-06-10,35.22999954223633
2022-06-13,33.29999923706055
2022-06-14,32.93000030517578
2022-06-15,31.739999771118164
2022-06-16,29.88999938964844
2022-06-17,29.96999931335449
2022-06-21,30.479999542236328
2022-06-22,29.520000457763672
2022-06-23,28.65999984741211
2022-06-24,28.46999931335449
2022-06-27,29.440000534057617
2022-06-28,30.06999969482422
2022-06-29,29.6299991607666
2022-06-30,28.8700008392334
2022-07-01,29.09000015258789
2022-07-05,28.200000762939453
2022-07-06,27.5
2022-07-07,28.46999931335449
2022-07-08,28.46999931335449
2022-07-11,28.200000762939453
2022-07-12,27.489999771118164
2022-07-13,26.76000022888184
2022-07-14,26.34000015258789
2022-07-15,26.68000030517578
2022-07-18,27.15999984741211
2022-07-19,28.21999931335449
2022-07-20,25.88999938964844
2022-07-21,24.920000076293945
2022-07-22,24.07999992370605
2022-07-25,24.39999961853028
2022-07-26,24.299999237060547
2022-07-27,25.059999465942383
2022-07-28,24.979999542236328
2022-07-29,25.690000534057617
2022-08-01,24.65999984741211
2022-08-02,25.420000076293945
2022-08-03,25.229999542236328
2022-08-04,23.709999084472656
2022-08-05,24.059999465942383
2022-08-08,24.270000457763672
2022-08-09,23.850000381469727
2022-08-10,24.350000381469727
2022-08-11,25.280000686645508
2022-08-12,26.01000022888184
2022-08-15,25.299999237060547
2022-08-16,25.059999465942383
2022-08-17,24.75
2022-08-18,24.989999771118164
2022-08-19,25.15999984741211
2022-08-22,25.270000457763672
2022-08-23,26.100000381469727
2022-08-24,26.46999931335449
2022-08-25,26.64999961853028
2022-08-26,26.1299991607666
2022-08-29,26.229999542236328
2022-08-30,25.049999237060547
2022-08-31,25.26000022888184
