,RTX
2020-08-26,60.77000045776367
2020-08-27,60.900001525878906
2020-08-28,62.2400016784668
2020-08-31,61.0
2020-09-01,60.68000030517578
2020-09-02,62.0
2020-09-03,60.86000061035156
2020-09-04,61.16999816894531
2020-09-08,59.25
2020-09-09,59.58000183105469
2020-09-10,59.52000045776367
2020-09-11,60.650001525878906
2020-09-14,61.970001220703125
2020-09-15,61.43999862670898
2020-09-16,62.91999816894531
2020-09-17,62.810001373291016
2020-09-18,62.34999847412109
2020-09-21,60.02000045776367
2020-09-22,59.790000915527344
2020-09-23,58.33000183105469
2020-09-24,57.380001068115234
2020-09-25,57.4900016784668
2020-09-28,58.88999938964844
2020-09-29,57.59999847412109
2020-09-30,57.540000915527344
2020-10-01,57.459999084472656
2020-10-02,59.34000015258789
2020-10-05,59.5099983215332
2020-10-06,58.45000076293945
2020-10-07,59.68999862670898
2020-10-08,60.79999923706055
2020-10-09,59.90999984741211
2020-10-12,60.52999877929688
2020-10-13,59.52000045776367
2020-10-14,59.93999862670898
2020-10-15,60.4900016784668
2020-10-16,61.75
2020-10-19,61.459999084472656
2020-10-20,61.2400016784668
2020-10-21,60.34999847412109
2020-10-22,62.79999923706055
2020-10-23,62.56999969482422
2020-10-26,60.810001373291016
2020-10-27,56.52999877929688
2020-10-28,52.34000015258789
2020-10-29,53.13999938964844
2020-10-30,54.31999969482422
2020-11-02,55.75
2020-11-03,57.040000915527344
2020-11-04,56.81999969482422
2020-11-05,58.27999877929688
2020-11-06,58.560001373291016
2020-11-09,64.98999786376953
2020-11-10,67.88999938964844
2020-11-11,65.8499984741211
2020-11-12,63.9900016784668
2020-11-13,66.1500015258789
2020-11-16,68.66000366210938
2020-11-17,68.87000274658203
2020-11-18,69.51000213623047
2020-11-19,71.11000061035156
2020-11-20,69.76000213623047
2020-11-23,72.63999938964844
2020-11-24,74.36000061035156
2020-11-25,73.80999755859375
2020-11-27,73.91000366210938
2020-11-30,71.72000122070312
2020-12-01,71.2300033569336
2020-12-02,71.94000244140625
2020-12-03,73.29000091552734
2020-12-04,73.91000366210938
2020-12-07,73.04000091552734
2020-12-08,74.4800033569336
2020-12-09,73.54000091552734
2020-12-10,72.9800033569336
2020-12-11,72.88999938964844
2020-12-14,70.80000305175781
2020-12-15,71.04000091552734
2020-12-16,70.56999969482422
2020-12-17,70.63999938964844
2020-12-18,70.16999816894531
2020-12-21,69.66999816894531
2020-12-22,69.25
2020-12-23,70.72000122070312
2020-12-24,70.2699966430664
2020-12-28,70.62999725341797
2020-12-29,70.33999633789062
2020-12-30,71.36000061035156
2020-12-31,71.51000213623047
2021-01-04,68.43000030517578
2021-01-05,69.41999816894531
2021-01-06,70.27999877929688
2021-01-07,69.77999877929688
2021-01-08,69.86000061035156
2021-01-11,69.80000305175781
2021-01-12,71.5199966430664
2021-01-13,70.5
2021-01-14,70.94000244140625
2021-01-15,69.19999694824219
2021-01-19,69.36000061035156
2021-01-20,68.83999633789062
2021-01-21,68.11000061035156
2021-01-22,67.58000183105469
2021-01-25,66.27999877929688
2021-01-26,67.19999694824219
2021-01-27,65.5
2021-01-28,68.16999816894531
2021-01-29,66.7300033569336
2021-02-01,66.95999908447266
2021-02-02,70.13999938964844
2021-02-03,70.58000183105469
2021-02-04,72.68000030517578
2021-02-05,72.33000183105469
2021-02-08,72.48999786376953
2021-02-09,73.04000091552734
2021-02-10,72.47000122070312
2021-02-11,72.33000183105469
2021-02-12,72.61000061035156
2021-02-16,72.61000061035156
2021-02-17,73.05999755859375
2021-02-18,72.87999725341797
2021-02-19,74.26000213623047
2021-02-22,73.0
2021-02-23,73.98999786376953
2021-02-24,77.66999816894531
2021-02-25,73.31999969482422
2021-02-26,71.98999786376953
2021-03-01,74.36000061035156
2021-03-02,74.66999816894531
2021-03-03,75.06999969482422
2021-03-04,74.41999816894531
2021-03-05,75.18000030517578
2021-03-08,75.61000061035156
2021-03-09,74.83000183105469
2021-03-10,76.55999755859375
2021-03-11,77.05000305175781
2021-03-12,78.5199966430664
2021-03-15,79.56999969482422
2021-03-16,78.23999786376953
2021-03-17,79.55999755859375
2021-03-18,77.94000244140625
2021-03-19,78.36000061035156
2021-03-22,76.91999816894531
2021-03-23,75.18000030517578
2021-03-24,75.55000305175781
2021-03-25,77.52999877929688
2021-03-26,78.16999816894531
2021-03-29,77.68000030517578
2021-03-30,77.81999969482422
2021-03-31,77.2699966430664
2021-04-01,77.27999877929688
2021-04-05,77.91000366210938
2021-04-06,77.51000213623047
2021-04-07,77.5999984741211
2021-04-08,77.4800033569336
2021-04-09,78.29000091552734
2021-04-12,78.72000122070312
2021-04-13,77.69999694824219
2021-04-14,77.95999908447266
2021-04-15,77.97000122070312
2021-04-16,78.22000122070312
2021-04-19,78.58999633789062
2021-04-20,77.08999633789062
2021-04-21,78.87000274658203
2021-04-22,78.73999786376953
2021-04-23,80.54000091552734
2021-04-26,81.0
2021-04-27,82.80999755859375
2021-04-28,83.08000183105469
2021-04-29,82.87000274658203
2021-04-30,83.23999786376953
2021-05-03,84.13999938964844
2021-05-04,83.94000244140625
2021-05-05,84.12999725341797
2021-05-06,84.68000030517578
2021-05-07,85.70999908447266
2021-05-10,85.04000091552734
2021-05-11,84.33000183105469
2021-05-12,82.27999877929688
2021-05-13,83.77999877929688
2021-05-14,85.87999725341797
2021-05-17,86.56999969482422
2021-05-18,85.37999725341797
2021-05-19,85.20999908447266
2021-05-20,85.2300033569336
2021-05-21,85.80999755859375
2021-05-24,86.4800033569336
2021-05-25,86.26000213623047
2021-05-26,86.5
2021-05-27,88.61000061035156
2021-05-28,88.70999908447266
2021-06-01,88.98999786376953
2021-06-02,88.62999725341797
2021-06-03,88.68000030517578
2021-06-04,89.0199966430664
2021-06-07,88.97000122070312
2021-06-08,89.44999694824219
2021-06-09,88.8499984741211
2021-06-10,88.25
2021-06-11,88.80999755859375
2021-06-14,88.72000122070312
