,TECH
2021-02-08,97.64250183105467
2021-02-09,97.4875030517578
2021-02-10,97.5749969482422
2021-02-11,98.75499725341795
2021-02-12,99.71499633789062
2021-02-16,102.75
2021-02-17,101.81500244140624
2021-02-18,99.2699966430664
2021-02-19,97.3874969482422
2021-02-22,94.25
2021-02-23,94.21499633789062
2021-02-24,93.67250061035156
2021-02-25,91.26499938964844
2021-02-26,90.42250061035156
2021-03-01,93.11000061035156
2021-03-02,93.86000061035156
2021-03-03,90.30999755859376
2021-03-04,86.9749984741211
2021-03-05,89.05249786376953
2021-03-08,86.22000122070312
2021-03-09,91.02749633789062
2021-03-10,90.94000244140624
2021-03-11,97.00250244140624
2021-03-12,96.27999877929688
2021-03-15,99.25250244140624
2021-03-16,97.09249877929688
2021-03-17,95.45500183105467
2021-03-18,93.49749755859376
2021-03-19,93.80999755859376
2021-03-22,96.34500122070312
2021-03-23,94.11750030517578
2021-03-24,92.36499786376952
2021-03-25,94.30500030517578
2021-03-26,97.05999755859376
2021-03-29,91.74749755859376
2021-03-30,93.36750030517578
2021-03-31,95.48249816894533
2021-04-01,97.125
2021-04-05,99.19750213623048
2021-04-06,99.76499938964844
2021-04-07,99.24749755859376
2021-04-08,101.28500366210938
2021-04-09,102.18000030517578
2021-04-12,100.7624969482422
2021-04-13,104.8625030517578
2021-04-14,103.59500122070312
2021-04-15,103.79499816894533
2021-04-16,104.6374969482422
2021-04-19,103.62750244140624
2021-04-20,102.97750091552734
2021-04-21,105.95999908447266
2021-04-22,105.92749786376952
2021-04-23,108.11750030517578
2021-04-26,110.13999938964844
2021-04-27,110.3499984741211
2021-04-28,109.1999969482422
2021-04-29,108.4375
2021-04-30,106.87249755859376
2021-05-03,106.60250091552734
2021-05-04,104.55500030517578
2021-05-05,104.1999969482422
2021-05-06,102.74500274658205
2021-05-07,105.7624969482422
2021-05-10,102.05750274658205
2021-05-11,103.88500213623048
2021-05-12,102.22000122070312
2021-05-13,99.16500091552734
2021-05-14,100.34249877929688
2021-05-17,96.8375015258789
2021-05-18,100.0
2021-05-19,99.39250183105467
2021-05-20,102.22250366210938
2021-05-21,102.3375015258789
2021-05-24,105.25
2021-05-25,105.0374984741211
2021-05-26,104.06749725341795
2021-05-27,102.42250061035156
2021-05-28,103.4574966430664
2021-06-01,102.55999755859376
2021-06-02,102.53250122070312
2021-06-03,101.8949966430664
2021-06-04,106.0749969482422
2021-06-07,104.93250274658205
2021-06-08,106.25749969482422
2021-06-09,107.29000091552734
2021-06-10,108.9499969482422
2021-06-11,110.98500061035156
2021-06-14,112.34249877929688
2021-06-15,110.32749938964844
2021-06-16,110.63500213623048
2021-06-17,111.29750061035156
2021-06-18,107.9749984741211
2021-06-21,110.05249786376952
2021-06-22,110.47000122070312
2021-06-23,111.10749816894533
2021-06-24,109.87750244140624
2021-06-25,109.13500213623048
2021-06-28,111.24500274658205
2021-06-29,111.9499969482422
2021-06-30,112.56500244140624
2021-07-01,113.47750091552734
2021-07-02,112.39250183105467
2021-07-06,113.87000274658205
2021-07-07,115.92749786376952
2021-07-08,115.21749877929688
2021-07-09,116.34750366210938
2021-07-12,112.86499786376952
2021-07-13,113.36000061035156
2021-07-14,111.21749877929688
2021-07-15,112.37750244140624
2021-07-16,114.66999816894533
2021-07-19,113.85749816894533
2021-07-20,116.75749969482422
2021-07-21,115.78500366210938
2021-07-22,117.29499816894533
2021-07-23,118.5999984741211
2021-07-26,118.03250122070312
2021-07-27,118.4000015258789
2021-07-28,119.19000244140624
2021-07-29,120.77749633789062
2021-07-30,120.55999755859376
2021-08-02,121.43499755859376
2021-08-03,120.31749725341795
2021-08-04,121.6875
2021-08-05,122.6624984741211
2021-08-06,120.45500183105467
2021-08-09,119.8125
2021-08-10,115.92749786376952
2021-08-11,115.72250366210938
2021-08-12,115.96749877929688
2021-08-13,116.73500061035156
2021-08-16,119.3625030517578
2021-08-17,118.50499725341795
2021-08-18,117.70500183105467
2021-08-19,118.97000122070312
2021-08-20,119.8625030517578
2021-08-23,119.9749984741211
2021-08-24,123.12249755859376
2021-08-25,125.05999755859376
2021-08-26,123.29750061035156
2021-08-27,123.75250244140624
2021-08-30,126.45999908447266
2021-08-31,124.78500366210938
2021-09-01,126.3375015258789
2021-09-02,127.69499969482422
2021-09-03,128.2725067138672
2021-09-07,128.54750061035156
2021-09-08,126.94249725341795
2021-09-09,127.0425033569336
2021-09-10,129.19749450683594
2021-09-13,125.64749908447266
2021-09-14,127.47250366210938
2021-09-15,132.41000366210938
2021-09-16,132.36500549316406
2021-09-17,133.58749389648438
2021-09-20,132.2050018310547
2021-09-21,132.5500030517578
2021-09-22,133.25
2021-09-23,134.22500610351562
2021-09-24,134.72000122070312
2021-09-27,127.8625030517578
2021-09-28,122.21749877929688
2021-09-29,122.63249969482422
2021-09-30,121.14250183105467
2021-10-01,123.45500183105467
