,WSM
2016-12-12,27.530000686645508
2016-12-13,27.520000457763672
2016-12-14,27.450000762939453
2016-12-15,28.030000686645508
2016-12-16,27.3700008392334
2016-12-19,27.229999542236328
2016-12-20,27.315000534057617
2016-12-21,26.90999984741211
2016-12-22,24.88500022888184
2016-12-23,24.325000762939453
2016-12-27,24.424999237060547
2016-12-28,24.104999542236328
2016-12-29,24.065000534057617
2016-12-30,24.19499969482422
2017-01-03,24.739999771118164
2017-01-04,25.13500022888184
2017-01-05,24.64999961853028
2017-01-06,24.44499969482422
2017-01-09,24.350000381469727
2017-01-10,24.940000534057617
2017-01-11,24.71500015258789
2017-01-12,24.559999465942383
2017-01-13,24.725000381469727
2017-01-17,25.07999992370605
2017-01-18,25.09000015258789
2017-01-19,24.14999961853028
2017-01-20,24.31999969482422
2017-01-23,24.229999542236328
2017-01-24,24.424999237060547
2017-01-25,24.78499984741211
2017-01-26,24.364999771118164
2017-01-27,23.75
2017-01-30,23.77499961853028
2017-01-31,24.104999542236328
2017-02-01,23.71500015258789
2017-02-02,23.86000061035156
2017-02-03,23.7549991607666
2017-02-06,23.51000022888184
2017-02-07,23.450000762939453
2017-02-08,23.299999237060547
2017-02-09,23.71500015258789
2017-02-10,24.0
2017-02-13,23.559999465942383
2017-02-14,24.38999938964844
2017-02-15,24.57999992370605
2017-02-16,23.875
2017-02-17,24.02499961853028
2017-02-21,24.280000686645508
2017-02-22,24.09000015258789
2017-02-23,23.670000076293945
2017-02-24,24.190000534057617
2017-02-27,25.19499969482422
2017-02-28,24.295000076293945
2017-03-01,24.77499961853028
2017-03-02,25.045000076293945
2017-03-03,25.170000076293945
2017-03-06,24.13999938964844
2017-03-07,23.854999542236328
2017-03-08,24.434999465942383
2017-03-09,23.75
2017-03-10,24.045000076293945
2017-03-13,23.809999465942383
2017-03-14,23.76000022888184
2017-03-15,24.059999465942383
2017-03-16,24.625
2017-03-17,24.799999237060547
2017-03-20,24.25
2017-03-21,23.93000030517578
2017-03-22,24.20499992370605
2017-03-23,24.2450008392334
2017-03-24,23.979999542236328
2017-03-27,24.309999465942383
2017-03-28,24.7450008392334
2017-03-29,25.875
2017-03-30,26.21500015258789
2017-03-31,26.809999465942383
2017-04-03,26.90999984741211
2017-04-04,27.13999938964844
2017-04-05,26.8700008392334
2017-04-06,27.19499969482422
2017-04-07,27.21999931335449
2017-04-10,27.68000030517578
2017-04-11,27.795000076293945
2017-04-12,27.125
2017-04-13,27.190000534057617
2017-04-17,27.059999465942383
2017-04-18,26.94499969482422
2017-04-19,27.200000762939453
2017-04-20,27.459999084472656
2017-04-21,27.354999542236328
2017-04-24,27.299999237060547
2017-04-25,27.51000022888184
2017-04-26,27.32999992370605
2017-04-27,27.36000061035156
2017-04-28,27.02499961853028
2017-05-01,26.1299991607666
2017-05-02,26.770000457763672
2017-05-03,26.809999465942383
2017-05-04,26.86000061035156
2017-05-05,26.809999465942383
2017-05-08,26.51000022888184
2017-05-09,26.8799991607666
2017-05-10,27.28499984741211
2017-05-11,26.3700008392334
2017-05-12,25.68000030517578
2017-05-15,25.600000381469727
2017-05-16,25.11000061035156
2017-05-17,25.040000915527344
2017-05-18,24.86000061035156
2017-05-19,24.729999542236328
2017-05-22,24.81999969482422
2017-05-23,24.53499984741211
2017-05-24,24.80500030517578
2017-05-25,24.559999465942383
2017-05-26,24.565000534057617
2017-05-30,24.270000457763672
2017-05-31,24.32999992370605
2017-06-01,24.34000015258789
2017-06-02,24.23500061035156
2017-06-05,23.31999969482422
2017-06-06,23.27499961853028
2017-06-07,22.88500022888184
2017-06-08,23.30500030517578
2017-06-09,24.2549991607666
2017-06-12,24.700000762939453
2017-06-13,24.5
2017-06-14,24.55500030517578
2017-06-15,24.38999938964844
2017-06-16,23.98500061035156
2017-06-19,24.114999771118164
2017-06-20,23.44499969482422
2017-06-21,23.350000381469727
2017-06-22,23.59000015258789
2017-06-23,23.739999771118164
2017-06-26,23.78499984741211
2017-06-27,24.200000762939453
2017-06-28,24.415000915527344
2017-06-29,24.299999237060547
2017-06-30,24.25
2017-07-03,24.5049991607666
2017-07-05,24.03499984741211
2017-07-06,23.90999984741211
2017-07-07,23.645000457763672
2017-07-10,22.875
2017-07-11,22.809999465942383
2017-07-12,22.825000762939453
2017-07-13,23.21500015258789
2017-07-14,22.65999984741211
2017-07-17,22.5
2017-07-18,22.2549991607666
2017-07-19,22.38999938964844
2017-07-20,22.584999084472656
2017-07-21,22.57999992370605
2017-07-24,22.13500022888184
2017-07-25,22.545000076293945
2017-07-26,22.540000915527344
2017-07-27,23.299999237060547
2017-07-28,23.15999984741211
2017-07-31,23.21500015258789
