,FDS
2020-03-27,254.7100067138672
2020-03-30,268.07000732421875
2020-03-31,260.67999267578125
2020-04-01,255.5399932861328
2020-04-02,262.3099975585937
2020-04-03,253.1100006103516
2020-04-06,266.8999938964844
2020-04-07,267.8500061035156
2020-04-08,270.9700012207031
2020-04-09,279.1600036621094
2020-04-13,271.6600036621094
2020-04-14,279.1300048828125
2020-04-15,277.1300048828125
2020-04-16,282.42999267578125
2020-04-17,281.1000061035156
2020-04-20,276.70001220703125
2020-04-21,266.5400085449219
2020-04-22,272.4200134277344
2020-04-23,273.3900146484375
2020-04-24,274.42999267578125
2020-04-27,286.07000732421875
2020-04-28,275.2200012207031
2020-04-29,283.4700012207031
2020-04-30,275.0
2020-05-01,269.42999267578125
2020-05-04,269.0299987792969
2020-05-05,272.7200012207031
2020-05-06,266.2699890136719
2020-05-07,275.739990234375
2020-05-08,276.0799865722656
2020-05-11,285.6400146484375
2020-05-12,281.2799987792969
2020-05-13,279.0899963378906
2020-05-14,279.1000061035156
2020-05-15,281.0599975585937
2020-05-18,291.3099975585937
2020-05-19,287.4200134277344
2020-05-20,290.9100036621094
2020-05-21,290.4100036621094
2020-05-22,289.3399963378906
2020-05-26,295.5599975585937
2020-05-27,300.75
2020-05-28,303.0
2020-05-29,307.510009765625
2020-06-01,306.489990234375
2020-06-02,304.9700012207031
2020-06-03,313.2900085449219
2020-06-04,311.17999267578125
2020-06-05,317.0
2020-06-08,314.7300109863281
2020-06-09,304.8999938964844
2020-06-10,305.8900146484375
2020-06-11,284.20001220703125
2020-06-12,286.9800109863281
2020-06-15,294.6000061035156
2020-06-16,296.1099853515625
2020-06-17,300.1000061035156
2020-06-18,301.42999267578125
2020-06-19,303.6199951171875
2020-06-22,309.1199951171875
2020-06-23,306.2099914550781
2020-06-24,297.2099914550781
2020-06-25,342.1600036621094
2020-06-26,328.6499938964844
2020-06-29,326.79998779296875
2020-06-30,328.4700012207031
2020-07-01,333.8900146484375
2020-07-02,335.8999938964844
2020-07-06,338.760009765625
2020-07-07,341.0199890136719
2020-07-08,349.42999267578125
2020-07-09,347.3699951171875
2020-07-10,350.9800109863281
2020-07-13,342.1400146484375
2020-07-14,351.57000732421875
2020-07-15,351.8399963378906
2020-07-16,350.04998779296875
2020-07-17,353.739990234375
2020-07-20,355.25
2020-07-21,354.6700134277344
2020-07-22,354.510009765625
2020-07-23,348.1000061035156
2020-07-24,347.94000244140625
2020-07-27,349.3800048828125
2020-07-28,342.760009765625
2020-07-29,347.3699951171875
2020-07-30,345.7200012207031
2020-07-31,346.29998779296875
2020-08-03,348.8099975585937
2020-08-04,347.2900085449219
2020-08-05,350.0599975585937
2020-08-06,353.3699951171875
2020-08-07,355.82000732421875
2020-08-10,356.260009765625
2020-08-11,355.760009765625
2020-08-12,360.1600036621094
2020-08-13,355.9599914550781
2020-08-14,354.5899963378906
2020-08-17,355.5299987792969
2020-08-18,360.80999755859375
2020-08-19,360.9200134277344
2020-08-20,356.239990234375
2020-08-21,356.1000061035156
2020-08-24,357.3699951171875
2020-08-25,356.0
2020-08-26,355.9599914550781
2020-08-27,353.92999267578125
2020-08-28,352.9200134277344
2020-08-31,350.3999938964844
2020-09-01,351.0799865722656
2020-09-02,354.04998779296875
2020-09-03,339.17999267578125
2020-09-04,332.4700012207031
2020-09-08,322.6000061035156
2020-09-09,332.6700134277344
2020-09-10,325.04998779296875
2020-09-11,327.0400085449219
2020-09-14,333.4200134277344
2020-09-15,336.3299865722656
2020-09-16,334.1199951171875
2020-09-17,333.0400085449219
2020-09-18,336.3999938964844
2020-09-21,336.8399963378906
2020-09-22,338.79998779296875
2020-09-23,330.7200012207031
2020-09-24,334.3599853515625
2020-09-25,328.3999938964844
2020-09-28,333.2900085449219
2020-09-29,333.9599914550781
2020-09-30,334.8800048828125
2020-10-01,328.0
2020-10-02,323.7200012207031
2020-10-05,323.1499938964844
2020-10-06,321.7699890136719
2020-10-07,325.3800048828125
2020-10-08,328.6000061035156
2020-10-09,327.4700012207031
2020-10-12,329.5599975585937
2020-10-13,335.54998779296875
2020-10-14,335.239990234375
2020-10-15,337.739990234375
2020-10-16,339.5599975585937
2020-10-19,333.92999267578125
2020-10-20,333.29998779296875
2020-10-21,332.79998779296875
2020-10-22,327.9700012207031
2020-10-23,328.4800109863281
2020-10-26,322.2699890136719
2020-10-27,318.8999938964844
2020-10-28,311.2300109863281
2020-10-29,310.25
2020-10-30,306.5
2020-11-02,311.17999267578125
2020-11-03,319.4800109863281
2020-11-04,327.8800048828125
2020-11-05,332.9700012207031
2020-11-06,335.8299865722656
2020-11-09,316.7099914550781
2020-11-10,323.1000061035156
2020-11-11,335.1499938964844
2020-11-12,324.760009765625
2020-11-13,328.260009765625
2020-11-16,329.95001220703125
2020-11-17,323.25
2020-11-18,317.0599975585937
2020-11-19,317.9599914550781
2020-11-20,321.54998779296875
2020-11-23,318.8800048828125
2020-11-24,319.8800048828125
2020-11-25,322.2799987792969
2020-11-27,322.75
2020-11-30,333.760009765625
2020-12-01,342.2300109863281
2020-12-02,336.1499938964844
2020-12-03,346.57000732421875
2020-12-04,351.010009765625
2020-12-07,351.7099914550781
2020-12-08,348.57000732421875
2020-12-09,345.760009765625
2020-12-10,348.69000244140625
2020-12-11,351.4700012207031
2020-12-14,344.8900146484375
2020-12-15,347.989990234375
2020-12-16,345.3800048828125
2020-12-17,345.2300109863281
2020-12-18,347.0299987792969
2020-12-21,332.6499938964844
2020-12-22,331.0
2020-12-23,325.0799865722656
2020-12-24,327.42999267578125
2020-12-28,330.0199890136719
2020-12-29,327.3299865722656
2020-12-30,328.3800048828125
2020-12-31,332.5
2021-01-04,330.5899963378906
2021-01-05,329.5799865722656
2021-01-06,332.2300109863281
2021-01-07,334.3999938964844
2021-01-08,334.45001220703125
2021-01-11,332.25
2021-01-12,335.44000244140625
2021-01-13,330.989990234375
2021-01-14,320.6400146484375
2021-01-15,318.20001220703125
2021-01-19,319.3500061035156
2021-01-20,327.45001220703125
2021-01-21,324.7200012207031
2021-01-22,320.2300109863281
2021-01-25,317.5199890136719
2021-01-26,311.8999938964844
2021-01-27,312.69000244140625
2021-01-28,308.7900085449219
2021-01-29,302.3399963378906
2021-02-01,312.260009765625
2021-02-02,317.70001220703125
2021-02-03,315.3500061035156
2021-02-04,315.8399963378906
2021-02-05,317.9700012207031
2021-02-08,320.95001220703125
2021-02-09,313.6000061035156
2021-02-10,309.4100036621094
2021-02-11,317.1400146484375
2021-02-12,316.0
2021-02-16,312.6000061035156
2021-02-17,315.0400085449219
2021-02-18,318.5
2021-02-19,313.67999267578125
2021-02-22,303.8699951171875
2021-02-23,302.7900085449219
2021-02-24,300.94000244140625
2021-02-25,294.3500061035156
2021-02-26,303.9100036621094
2021-03-01,311.17999267578125
2021-03-02,310.9200134277344
2021-03-03,308.8699951171875
2021-03-04,305.0899963378906
2021-03-05,314.25
2021-03-08,315.8999938964844
2021-03-09,312.489990234375
2021-03-10,312.2900085449219
2021-03-11,312.739990234375
2021-03-12,310.8999938964844
2021-03-15,318.5199890136719
2021-03-16,317.760009765625
2021-03-17,316.29998779296875
2021-03-18,310.1000061035156
2021-03-19,311.44000244140625
2021-03-22,314.3800048828125
2021-03-23,320.3999938964844
2021-03-24,321.3500061035156
2021-03-25,321.1700134277344
2021-03-26,325.6199951171875
2021-03-29,323.95001220703125
2021-03-30,311.3399963378906
2021-03-31,308.5899963378906
2021-04-01,317.010009765625
2021-04-05,320.54998779296875
2021-04-06,318.17999267578125
2021-04-07,309.3599853515625
2021-04-08,310.1400146484375
2021-04-09,309.1300048828125
2021-04-12,311.260009765625
2021-04-13,311.3999938964844
2021-04-14,309.260009765625
2021-04-15,314.8999938964844
2021-04-16,319.2699890136719
2021-04-19,317.3399963378906
2021-04-20,318.8500061035156
2021-04-21,321.75
2021-04-22,323.7900085449219
2021-04-23,347.1000061035156
2021-04-26,336.9100036621094
2021-04-27,342.1600036621094
2021-04-28,336.3999938964844
2021-04-29,341.2699890136719
2021-04-30,336.2200012207031
2021-05-03,342.0599975585937
2021-05-04,345.6000061035156
2021-05-05,336.54998779296875
2021-05-06,338.0599975585937
2021-05-07,337.04998779296875
2021-05-10,335.1099853515625
2021-05-11,331.8599853515625
2021-05-12,326.510009765625
2021-05-13,328.5299987792969
2021-05-14,330.9100036621094
2021-05-17,326.5299987792969
2021-05-18,321.7200012207031
2021-05-19,322.3999938964844
2021-05-20,327.3099975585937
2021-05-21,328.1499938964844
2021-05-24,328.94000244140625
2021-05-25,329.7300109863281
2021-05-26,331.510009765625
2021-05-27,332.260009765625
2021-05-28,334.3599853515625
2021-06-01,324.1099853515625
2021-06-02,327.489990234375
2021-06-03,324.9800109863281
2021-06-04,325.4200134277344
2021-06-07,323.1499938964844
2021-06-08,323.3999938964844
2021-06-09,321.7799987792969
2021-06-10,324.44000244140625
2021-06-11,328.3999938964844
2021-06-14,328.0
2021-06-15,327.9800109863281
2021-06-16,326.4700012207031
2021-06-17,328.5799865722656
2021-06-18,325.3399963378906
2021-06-21,329.6700134277344
2021-06-22,330.7900085449219
2021-06-23,328.5199890136719
2021-06-24,330.6300048828125
2021-06-25,332.0799865722656
2021-06-28,337.0299987792969
2021-06-29,336.1099853515625
2021-06-30,335.6099853515625
2021-07-01,335.8299865722656
2021-07-02,338.4700012207031
2021-07-06,341.010009765625
2021-07-07,339.5899963378906
2021-07-08,340.8399963378906
2021-07-09,343.20001220703125
2021-07-12,339.5400085449219
2021-07-13,335.5
2021-07-14,335.7099914550781
2021-07-15,338.8399963378906
2021-07-16,341.17999267578125
2021-07-19,337.17999267578125
2021-07-20,339.92999267578125
2021-07-21,340.489990234375
2021-07-22,340.8299865722656
2021-07-23,345.2300109863281
2021-07-26,342.75
2021-07-27,344.0899963378906
2021-07-28,345.3500061035156
2021-07-29,349.20001220703125
2021-07-30,357.2799987792969
2021-08-02,359.2200012207031
2021-08-03,357.9800109863281
2021-08-04,358.7900085449219
2021-08-05,358.989990234375
2021-08-06,362.1900024414063
2021-08-09,362.6099853515625
2021-08-10,362.0
2021-08-11,364.3399963378906
2021-08-12,362.7799987792969
2021-08-13,368.1199951171875
2021-08-16,373.9400024414063
2021-08-17,374.5700073242188
2021-08-18,361.1700134277344
2021-08-19,365.1600036621094
2021-08-20,368.9800109863281
2021-08-23,366.6099853515625
2021-08-24,367.6400146484375
2021-08-25,376.0
2021-08-26,374.010009765625
2021-08-27,376.5799865722656
2021-08-30,380.0799865722656
2021-08-31,380.2200012207031
2021-09-01,385.8399963378906
2021-09-02,386.9100036621094
2021-09-03,385.9100036621094
2021-09-07,382.4100036621094
2021-09-08,384.8399963378906
2021-09-09,383.5700073242188
2021-09-10,384.010009765625
2021-09-13,382.5799865722656
2021-09-14,383.75
2021-09-15,383.7699890136719
2021-09-16,382.1799926757813
2021-09-17,378.25
