,FIX
2019-12-17,50.63999938964844
2019-12-18,49.880001068115234
2019-12-19,49.97999954223633
2019-12-20,50.290000915527344
2019-12-23,51.08000183105469
2019-12-24,50.95000076293945
2019-12-26,50.9900016784668
2019-12-27,50.130001068115234
2019-12-30,50.06999969482422
2019-12-31,49.84999847412109
2020-01-02,49.220001220703125
2020-01-03,49.18000030517578
2020-01-06,49.400001525878906
2020-01-07,48.90999984741211
2020-01-08,48.720001220703125
2020-01-09,48.369998931884766
2020-01-10,48.209999084472656
2020-01-13,48.650001525878906
2020-01-14,48.810001373291016
2020-01-15,48.790000915527344
2020-01-16,49.709999084472656
2020-01-17,49.459999084472656
2020-01-21,49.619998931884766
2020-01-22,49.970001220703125
2020-01-23,50.25
2020-01-24,49.40999984741211
2020-01-27,48.7599983215332
2020-01-28,49.0
2020-01-29,48.04999923706055
2020-01-30,47.90999984741211
2020-01-31,46.400001525878906
2020-02-03,46.970001220703125
2020-02-04,47.2400016784668
2020-02-05,49.15999984741211
2020-02-06,49.11000061035156
2020-02-07,47.720001220703125
2020-02-10,48.61000061035156
2020-02-11,49.31999969482422
2020-02-12,49.61000061035156
2020-02-13,50.09999847412109
2020-02-14,49.150001525878906
2020-02-18,48.43999862670898
2020-02-19,48.34000015258789
2020-02-20,49.08000183105469
2020-02-21,48.84999847412109
2020-02-24,48.0099983215332
2020-02-25,46.130001068115234
2020-02-26,45.45000076293945
2020-02-27,43.27000045776367
2020-02-28,42.220001220703125
2020-03-02,43.16999816894531
2020-03-03,43.41999816894531
2020-03-04,44.25
2020-03-05,42.2400016784668
2020-03-06,42.15999984741211
2020-03-09,39.31999969482422
2020-03-10,40.790000915527344
2020-03-11,40.720001220703125
2020-03-12,33.88999938964844
2020-03-13,37.86000061035156
2020-03-16,31.459999084472656
2020-03-17,36.02999877929688
2020-03-18,33.529998779296875
2020-03-19,33.029998779296875
2020-03-20,32.75
2020-03-23,29.950000762939453
2020-03-24,33.709999084472656
2020-03-25,33.040000915527344
2020-03-26,36.790000915527344
2020-03-27,32.939998626708984
2020-03-30,35.38999938964844
2020-03-31,36.54999923706055
2020-04-01,34.75
2020-04-02,34.29999923706055
2020-04-03,31.32999992370605
2020-04-06,32.970001220703125
2020-04-07,33.34000015258789
2020-04-08,34.810001373291016
2020-04-09,37.83000183105469
2020-04-13,36.68000030517578
2020-04-14,36.959999084472656
2020-04-15,33.040000915527344
2020-04-16,31.530000686645508
2020-04-17,33.529998779296875
2020-04-20,30.84000015258789
2020-04-21,29.46999931335449
2020-04-22,30.170000076293945
2020-04-23,29.96999931335449
2020-04-24,31.06999969482422
2020-04-27,33.20000076293945
2020-04-28,35.4900016784668
2020-04-29,35.849998474121094
2020-04-30,33.29999923706055
2020-05-01,32.599998474121094
2020-05-04,31.75
2020-05-05,33.36000061035156
2020-05-06,32.459999084472656
2020-05-07,32.61000061035156
2020-05-08,33.189998626708984
2020-05-11,32.54999923706055
2020-05-12,30.670000076293945
2020-05-13,29.65999984741211
2020-05-14,29.75
2020-05-15,30.61000061035156
2020-05-18,34.41999816894531
2020-05-19,32.560001373291016
2020-05-20,33.90999984741211
2020-05-21,33.81999969482422
