,ODFL
2018-05-17,48.78666687011719
2018-05-18,49.08666610717773
2018-05-21,50.369998931884766
2018-05-22,49.426666259765625
2018-05-23,49.970001220703125
2018-05-24,51.18000030517578
2018-05-25,51.39666748046875
2018-05-29,51.56666564941406
2018-05-30,52.80666732788086
2018-05-31,51.98666763305664
2018-06-01,53.119998931884766
2018-06-04,51.37333297729492
2018-06-05,51.46333312988281
2018-06-06,52.51666641235352
2018-06-07,52.73333358764648
2018-06-08,53.54666519165039
2018-06-11,53.89666748046875
2018-06-12,54.4033317565918
2018-06-13,53.98333358764648
2018-06-14,53.426666259765625
2018-06-15,53.869998931884766
2018-06-18,53.65999984741211
2018-06-19,53.20000076293945
2018-06-20,54.356666564941406
2018-06-21,53.59999847412109
2018-06-22,52.59999847412109
2018-06-25,51.09333419799805
2018-06-26,50.96666717529297
2018-06-27,50.040000915527344
2018-06-28,49.96666717529297
2018-06-29,49.6533317565918
2018-07-02,49.706668853759766
2018-07-03,49.14666748046875
2018-07-05,48.776668548583984
2018-07-06,49.130001068115234
2018-07-09,50.63666534423828
2018-07-10,49.34000015258789
2018-07-11,48.630001068115234
2018-07-12,49.15666580200195
2018-07-13,49.43000030517578
2018-07-16,47.650001525878906
2018-07-17,48.59333419799805
2018-07-18,49.42333221435547
2018-07-19,49.71666717529297
2018-07-20,49.70000076293945
2018-07-23,50.33666610717773
2018-07-24,47.50666809082031
2018-07-25,49.31999969482422
2018-07-26,48.05666732788086
2018-07-27,47.95000076293945
2018-07-30,47.663333892822266
2018-07-31,48.93333435058594
2018-08-01,48.08333206176758
2018-08-02,49.27999877929688
2018-08-03,48.58000183105469
2018-08-06,48.82666778564453
2018-08-07,48.85333251953125
2018-08-08,49.06666564941406
2018-08-09,49.03333282470703
2018-08-10,48.86000061035156
2018-08-13,48.08666610717773
2018-08-14,48.43999862670898
2018-08-15,48.31333160400391
2018-08-16,48.72666549682617
2018-08-17,48.93333435058594
2018-08-20,49.526668548583984
2018-08-21,49.86000061035156
2018-08-22,49.643333435058594
2018-08-23,49.24666595458984
2018-08-24,48.88666534423828
2018-08-27,49.72666549682617
2018-08-28,49.72666549682617
2018-08-29,50.98666763305664
2018-08-30,51.05666732788086
2018-08-31,50.79999923706055
2018-09-04,51.49666595458984
2018-09-05,52.926666259765625
2018-09-06,55.11666870117188
2018-09-07,55.060001373291016
2018-09-10,55.86000061035156
2018-09-11,56.0099983215332
2018-09-12,55.53666687011719
2018-09-13,55.459999084472656
2018-09-14,55.29666519165039
2018-09-17,54.04333114624024
2018-09-18,54.28333282470703
2018-09-19,53.720001220703125
2018-09-20,52.72999954223633
2018-09-21,52.25666809082031
2018-09-24,52.71333312988281
2018-09-25,53.33333206176758
2018-09-26,53.83666610717773
2018-09-27,53.55666732788086
2018-09-28,53.75333404541016
2018-10-01,53.86333465576172
2018-10-02,52.106666564941406
2018-10-03,52.26333236694336
2018-10-04,51.4900016784668
2018-10-05,50.62333297729492
2018-10-08,50.25
2018-10-09,49.46666717529297
2018-10-10,46.33333206176758
2018-10-11,45.436668395996094
2018-10-12,45.52333450317383
2018-10-15,45.19333267211914
2018-10-16,46.33333206176758
2018-10-17,45.20333480834961
2018-10-18,44.04999923706055
2018-10-19,44.02000045776367
2018-10-22,43.71333312988281
2018-10-23,42.80666732788086
2018-10-24,41.16999816894531
2018-10-25,41.573333740234375
2018-10-26,41.46333312988281
2018-10-29,40.20333480834961
2018-10-30,42.06999969482422
2018-10-31,43.473331451416016
2018-11-01,44.526668548583984
2018-11-02,44.52999877929688
2018-11-05,44.58333206176758
2018-11-06,45.58333206176758
2018-11-07,46.776668548583984
2018-11-08,45.97999954223633
2018-11-09,44.99666595458984
2018-11-12,44.143333435058594
2018-11-13,43.84000015258789
2018-11-14,44.40999984741211
2018-11-15,45.36666870117188
2018-11-16,44.883331298828125
2018-11-19,44.77000045776367
2018-11-20,42.31666564941406
2018-11-21,43.22666549682617
2018-11-23,43.02333450317383
2018-11-26,44.456668853759766
2018-11-27,44.21666717529297
2018-11-28,45.77000045776367
2018-11-29,45.00333404541016
2018-11-30,45.57666778564453
2018-12-03,45.163333892822266
2018-12-04,43.223331451416016
2018-12-06,44.72999954223633
2018-12-07,42.91666793823242
2018-12-10,43.25
2018-12-11,43.23333358764648
2018-12-12,43.40999984741211
2018-12-13,42.17333221435547
2018-12-14,41.143333435058594
2018-12-17,41.473331451416016
2018-12-18,41.790000915527344
2018-12-19,40.630001068115234
2018-12-20,40.25333404541016
2018-12-21,39.776668548583984
2018-12-24,38.526668548583984
2018-12-26,40.1533317565918
2018-12-27,41.09000015258789
2018-12-28,40.869998931884766
2018-12-31,41.163333892822266
2019-01-02,41.13999938964844
2019-01-03,39.630001068115234
2019-01-04,40.99666595458984
2019-01-07,41.470001220703125
2019-01-08,42.70000076293945
2019-01-09,42.720001220703125
2019-01-10,42.68999862670898
2019-01-11,42.61333465576172
2019-01-14,41.973331451416016
2019-01-15,41.95333480834961
2019-01-16,42.23333358764648
2019-01-17,43.40999984741211
2019-01-18,45.54333114624024
2019-01-22,44.29999923706055
2019-01-23,43.64666748046875
2019-01-24,43.86000061035156
2019-01-25,44.85333251953125
2019-01-28,45.223331451416016
2019-01-29,45.51666641235352
2019-01-30,46.50333404541016
2019-01-31,45.310001373291016
2019-02-01,46.00333404541016
2019-02-04,47.130001068115234
2019-02-05,47.24666595458984
2019-02-06,46.33000183105469
2019-02-07,47.663333892822266
2019-02-08,47.25
2019-02-11,46.86333465576172
2019-02-12,47.290000915527344
2019-02-13,48.0
2019-02-14,48.290000915527344
2019-02-15,48.790000915527344
2019-02-19,49.84333419799805
2019-02-20,50.83333206176758
2019-02-21,50.66666793823242
2019-02-22,50.619998931884766
2019-02-25,50.65666580200195
2019-02-26,50.33333206176758
2019-02-27,50.1533317565918
2019-02-28,50.25666809082031
2019-03-01,50.869998931884766
2019-03-04,49.54333114624024
2019-03-05,48.62666702270508
2019-03-06,48.13999938964844
2019-03-07,46.956668853759766
2019-03-08,47.56999969482422
2019-03-11,48.76333236694336
2019-03-12,48.78666687011719
2019-03-13,49.53333282470703
2019-03-14,49.23333358764648
2019-03-15,49.03666687011719
2019-03-18,49.76666641235352
2019-03-19,48.01666641235352
2019-03-20,47.62666702270508
2019-03-21,48.606666564941406
2019-03-22,47.573333740234375
2019-03-25,47.39666748046875
2019-03-26,48.14666748046875
2019-03-27,47.96333312988281
2019-03-28,48.49666595458984
2019-03-29,48.130001068115234
2019-04-01,49.75666809082031
2019-04-02,49.52999877929688
2019-04-03,49.97999954223633
2019-04-04,50.70333480834961
2019-04-05,50.58333206176758
2019-04-08,50.89666748046875
2019-04-09,50.21666717529297
2019-04-10,50.10333251953125
2019-04-11,51.0966682434082
2019-04-12,51.24666595458984
2019-04-15,50.823333740234375
2019-04-16,51.61000061035156
2019-04-17,52.36000061035156
2019-04-18,51.74333190917969
2019-04-22,51.956668853759766
2019-04-23,51.606666564941406
2019-04-24,52.97999954223633
2019-04-25,50.75
2019-04-26,51.290000915527344
2019-04-29,49.93000030517578
2019-04-30,49.7599983215332
2019-05-01,49.6533317565918
2019-05-02,50.01666641235352
2019-05-03,51.0966682434082
2019-05-06,51.23333358764648
2019-05-07,49.24333190917969
2019-05-08,48.53333282470703
2019-05-09,48.73333358764648
2019-05-10,48.79333114624024
2019-05-13,47.28666687011719
2019-05-14,48.0966682434082
2019-05-15,48.36000061035156
2019-05-16,48.7400016784668
2019-05-17,48.709999084472656
2019-05-20,48.973331451416016
2019-05-21,48.630001068115234
2019-05-22,47.90999984741211
2019-05-23,46.560001373291016
2019-05-24,46.15999984741211
2019-05-28,45.69333267211914
2019-05-29,44.75333404541016
2019-05-30,44.73666763305664
2019-05-31,44.14666748046875
2019-06-03,43.883331298828125
2019-06-04,45.07666778564453
2019-06-05,45.23333358764648
2019-06-06,45.12666702270508
2019-06-07,45.38666534423828
2019-06-10,46.356666564941406
2019-06-11,46.913333892822266
2019-06-12,47.33333206176758
2019-06-13,47.163333892822266
