,ITW
2018-09-19,146.74000549316406
2018-09-20,147.99000549316406
2018-09-21,148.44000244140625
2018-09-24,146.02000427246094
2018-09-25,143.50999450683594
2018-09-26,142.92999267578125
2018-09-27,141.97999572753906
2018-09-28,141.1199951171875
2018-10-01,143.13999938964844
2018-10-02,144.7100067138672
2018-10-03,143.6999969482422
2018-10-04,143.50999450683594
2018-10-05,141.00999450683594
2018-10-08,140.6699981689453
2018-10-09,136.8699951171875
2018-10-10,133.0
2018-10-11,129.35000610351562
2018-10-12,130.6699981689453
2018-10-15,131.24000549316406
2018-10-16,133.08999633789062
2018-10-17,132.00999450683594
2018-10-18,128.42999267578125
2018-10-19,127.02999877929688
2018-10-22,127.31999969482422
2018-10-23,126.56999969482422
2018-10-24,119.83000183105467
2018-10-25,122.68000030517578
2018-10-26,124.0999984741211
2018-10-29,125.81999969482422
2018-10-30,129.6999969482422
2018-10-31,127.56999969482422
2018-11-01,129.47000122070312
2018-11-02,130.7100067138672
2018-11-05,130.9499969482422
2018-11-06,131.6999969482422
2018-11-07,133.80999755859375
2018-11-08,133.80999755859375
2018-11-09,132.55999755859375
2018-11-12,131.19000244140625
2018-11-13,132.97999572753906
2018-11-14,133.2100067138672
2018-11-15,135.22999572753906
2018-11-16,135.60000610351562
2018-11-19,133.99000549316406
2018-11-20,133.6699981689453
2018-11-21,134.0500030517578
2018-11-23,134.2100067138672
2018-11-26,135.89999389648438
2018-11-27,135.88999938964844
2018-11-28,138.02999877929688
2018-11-29,135.89999389648438
2018-11-30,139.0500030517578
2018-12-03,139.44000244140625
2018-12-04,132.75999450683594
2018-12-06,133.25999450683594
2018-12-07,129.47000122070312
2018-12-10,130.66000366210938
2018-12-11,131.1300048828125
2018-12-12,132.2100067138672
2018-12-13,133.24000549316406
2018-12-14,131.0399932861328
2018-12-17,128.10000610351562
2018-12-18,127.22000122070312
2018-12-19,125.61000061035156
2018-12-20,125.1999969482422
2018-12-21,124.04000091552734
2018-12-24,118.9499969482422
2018-12-26,123.58999633789062
2018-12-27,125.94000244140624
2018-12-28,124.72000122070312
2018-12-31,126.69000244140624
2019-01-02,126.5999984741211
2019-01-03,123.4499969482422
2019-01-04,127.18000030517578
2019-01-07,127.20999908447266
2019-01-08,130.00999450683594
2019-01-09,129.99000549316406
2019-01-10,131.44000244140625
2019-01-11,130.30999755859375
2019-01-14,130.1699981689453
2019-01-15,130.08999633789062
2019-01-16,129.97000122070312
2019-01-17,132.6699981689453
2019-01-18,136.6699981689453
2019-01-22,132.1699981689453
2019-01-23,131.11000061035156
2019-01-24,130.92999267578125
2019-01-25,133.25
2019-01-28,131.0500030517578
2019-01-29,134.94000244140625
2019-01-30,135.61000061035156
2019-01-31,137.30999755859375
2019-02-01,134.42999267578125
2019-02-04,138.41000366210938
2019-02-05,137.83999633789062
2019-02-06,137.57000732421875
2019-02-07,135.02000427246094
2019-02-08,135.72000122070312
2019-02-11,136.22999572753906
2019-02-12,138.63999938964844
2019-02-13,139.82000732421875
2019-02-14,138.75
2019-02-15,144.2100067138672
2019-02-19,143.25
2019-02-20,143.61000061035156
2019-02-21,143.22000122070312
2019-02-22,144.8300018310547
2019-02-25,145.02000427246094
2019-02-26,144.33999633789062
2019-02-27,145.3000030517578
2019-02-28,144.0800018310547
2019-03-01,144.41000366210938
2019-03-04,144.33999633789062
2019-03-05,143.66000366210938
2019-03-06,142.5500030517578
2019-03-07,140.75
2019-03-08,140.64999389648438
2019-03-11,143.6300048828125
2019-03-12,143.97999572753906
2019-03-13,145.22999572753906
2019-03-14,144.89999389648438
2019-03-15,143.17999267578125
2019-03-18,145.3800048828125
2019-03-19,145.99000549316406
2019-03-20,145.66000366210938
2019-03-21,146.47000122070312
2019-03-22,141.64999389648438
2019-03-25,142.0399932861328
2019-03-26,143.25
2019-03-27,142.6300048828125
2019-03-28,142.85000610351562
2019-03-29,143.52999877929688
2019-04-01,148.33999633789062
2019-04-02,148.74000549316406
2019-04-03,150.1199951171875
2019-04-04,151.75999450683594
2019-04-05,152.1999969482422
2019-04-08,153.91000366210938
2019-04-09,150.99000549316406
2019-04-10,151.69000244140625
2019-04-11,154.3300018310547
2019-04-12,156.39999389648438
2019-04-15,155.6199951171875
2019-04-16,157.75
2019-04-17,156.14999389648438
2019-04-18,158.3300018310547
2019-04-22,157.19000244140625
2019-04-23,157.92999267578125
2019-04-24,156.80999755859375
2019-04-25,151.2100067138672
2019-04-26,153.58999633789062
2019-04-29,155.00999450683594
2019-04-30,155.6300048828125
2019-05-01,154.35000610351562
2019-05-02,154.60000610351562
2019-05-03,157.41000366210938
2019-05-06,155.3300018310547
2019-05-07,151.63999938964844
2019-05-08,151.1300048828125
2019-05-09,151.55999755859375
2019-05-10,152.75999450683594
2019-05-13,147.69000244140625
2019-05-14,148.9499969482422
2019-05-15,150.94000244140625
2019-05-16,152.47000122070312
2019-05-17,150.60000610351562
2019-05-20,149.4199981689453
2019-05-21,151.2100067138672
2019-05-22,149.9600067138672
2019-05-23,146.2899932861328
2019-05-24,145.72000122070312
2019-05-28,142.38999938964844
2019-05-29,141.41000366210938
2019-05-30,140.86000061035156
2019-05-31,139.63999938964844
2019-06-03,140.25999450683594
2019-06-04,145.1699981689453
2019-06-05,147.1699981689453
2019-06-06,148.0500030517578
2019-06-07,151.13999938964844
2019-06-10,152.22000122070312
2019-06-11,152.39999389648438
2019-06-12,150.5
2019-06-13,151.97999572753906
2019-06-14,149.0500030517578
2019-06-17,147.38999938964844
2019-06-18,149.2100067138672
2019-06-19,149.5399932861328
2019-06-20,152.17999267578125
2019-06-21,151.92999267578125
2019-06-24,152.0500030517578
2019-06-25,150.82000732421875
2019-06-26,150.07000732421875
2019-06-27,149.0800018310547
2019-06-28,150.80999755859375
2019-07-01,151.5500030517578
2019-07-02,149.74000549316406
2019-07-03,150.10000610351562
2019-07-05,147.97999572753906
2019-07-08,146.24000549316406
2019-07-09,146.41000366210938
2019-07-10,146.14999389648438
2019-07-11,146.8699951171875
2019-07-12,151.47999572753906
2019-07-15,151.25999450683594
2019-07-16,153.4499969482422
2019-07-17,150.32000732421875
2019-07-18,150.0
2019-07-19,151.27999877929688
2019-07-22,151.9199981689453
2019-07-23,156.92999267578125
2019-07-24,158.7100067138672
2019-07-25,158.63999938964844
2019-07-26,155.6300048828125
2019-07-29,155.74000549316406
2019-07-30,155.88999938964844
